iter,loss_mean,MSE_val,MSE_params,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_val,data_n_features,data_noise_scale,data_noise_weight,model_n_features,model_bias,algo_lrate,algo_S,algo_R
0,95.59449,98.57393646240234,9.623353004455566,3,150,10,500,10,0.0,0.5,10,False,0.01,30,1500
1,89.20047,93.25953674316406,9.099246978759766,3,150,10,500,10,0.0,0.5,10,False,0.01,30,1500
2,83.292305,88.29466247558594,8.604676246643066,3,150,10,500,10,0.0,0.5,10,False,0.01,30,1500
3,77.76014,83.65460205078125,8.145962715148926,3,150,10,500,10,0.0,0.5,10,False,0.01,30,1500
4,72.65669,79.33244323730469,7.719892978668213,3,150,10,500,10,0.0,0.5,10,False,0.01,30,1500
5,67.86542,75.12167358398438,7.306411266326904,3,150,10,500,10,0.0,0.5,10,False,0.01,30,1500
6,63.463856,71.23418426513672,6.923374176025391,3,150,10,500,10,0.0,0.5,10,False,0.01,30,1500
7,59.39337,67.53324127197266,6.558835029602051,3,150,10,500,10,0.0,0.5,10,False,0.01,30,1500
8,55.56069,64.0690689086914,6.2161335945129395,3,150,10,500,10,0.0,0.5,10,False,0.01,30,1500
9,51.930233,60.66705322265625,5.879031658172607,3,150,10,500,10,0.0,0.5,10,False,0.01,30,1500
10,48.554016,57.55491638183594,5.569266319274902,3,150,10,500,10,0.0,0.5,10,False,0.01,30,1500
11,45.43662,54.66303634643555,5.283084392547607,3,150,10,500,10,0.0,0.5,10,False,0.01,30,1500
12,42.61089,51.94700622558594,5.011431694030762,3,150,10,500,10,0.0,0.5,10,False,0.01,30,1500
13,39.91323,49.342201232910156,4.753769874572754,3,150,10,500,10,0.0,0.5,10,False,0.01,30,1500
14,37.392982,46.87819290161133,4.51196813583374,3,150,10,500,10,0.0,0.5,10,False,0.01,30,1500
15,35.07292,44.480323791503906,4.274138927459717,3,150,10,500,10,0.0,0.5,10,False,0.01,30,1500
16,32.92721,42.325748443603516,4.058684349060059,3,150,10,500,10,0.0,0.5,10,False,0.01,30,1500
17,30.882385,40.38591384887695,3.8680598735809326,3,150,10,500,10,0.0,0.5,10,False,0.01,30,1500
18,28.975136,38.533592224121094,3.6858603954315186,3,150,10,500,10,0.0,0.5,10,False,0.01,30,1500
19,27.211432,36.67231369018555,3.5009639263153076,3,150,10,500,10,0.0,0.5,10,False,0.01,30,1500
20,25.566942,35.01818084716797,3.335848808288574,3,150,10,500,10,0.0,0.5,10,False,0.01,30,1500
21,24.022633,33.38466262817383,3.1739256381988525,3,150,10,500,10,0.0,0.5,10,False,0.01,30,1500
22,22.554688,31.863672256469727,3.021332025527954,3,150,10,500,10,0.0,0.5,10,False,0.01,30,1500
23,21.220999,30.45661163330078,2.8824667930603027,3,150,10,500,10,0.0,0.5,10,False,0.01,30,1500
24,19.968193,29.012348175048828,2.740210771560669,3,150,10,500,10,0.0,0.5,10,False,0.01,30,1500
25,18.798939,27.61900520324707,2.603191375732422,3,150,10,500,10,0.0,0.5,10,False,0.01,30,1500
26,17.672926,26.3055477142334,2.4746110439300537,3,150,10,500,10,0.0,0.5,10,False,0.01,30,1500
27,16.640898,25.189289093017578,2.3640098571777344,3,150,10,500,10,0.0,0.5,10,False,0.01,30,1500
28,15.676562,24.077394485473633,2.255086898803711,3,150,10,500,10,0.0,0.5,10,False,0.01,30,1500
29,14.764724,23.027935028076172,2.153505563735962,3,150,10,500,10,0.0,0.5,10,False,0.01,30,1500
30,13.895072,22.03145980834961,2.054835319519043,3,150,10,500,10,0.0,0.5,10,False,0.01,30,1500
31,13.102385,21.18010902404785,1.9721181392669678,3,150,10,500,10,0.0,0.5,10,False,0.01,30,1500
32,12.337117,20.254018783569336,1.8838045597076416,3,150,10,500,10,0.0,0.5,10,False,0.01,30,1500
33,11.6455145,19.377931594848633,1.7964367866516113,3,150,10,500,10,0.0,0.5,10,False,0.01,30,1500
34,11.002259,18.534122467041016,1.7132896184921265,3,150,10,500,10,0.0,0.5,10,False,0.01,30,1500
35,10.382044,17.712955474853516,1.6316927671432495,3,150,10,500,10,0.0,0.5,10,False,0.01,30,1500
36,9.805365,16.942493438720703,1.5543688535690308,3,150,10,500,10,0.0,0.5,10,False,0.01,30,1500
37,9.2600765,16.25497817993164,1.4871752262115479,3,150,10,500,10,0.0,0.5,10,False,0.01,30,1500
38,8.75804,15.554332733154297,1.420835256576538,3,150,10,500,10,0.0,0.5,10,False,0.01,30,1500
39,8.280773,14.995950698852539,1.3634002208709717,3,150,10,500,10,0.0,0.5,10,False,0.01,30,1500
40,7.837036,14.41348648071289,1.3067070245742798,3,150,10,500,10,0.0,0.5,10,False,0.01,30,1500
41,7.424686,13.825715065002441,1.2479498386383057,3,150,10,500,10,0.0,0.5,10,False,0.01,30,1500
42,7.0299416,13.27750301361084,1.1936944723129272,3,150,10,500,10,0.0,0.5,10,False,0.01,30,1500
43,6.6621747,12.846996307373047,1.1521172523498535,3,150,10,500,10,0.0,0.5,10,False,0.01,30,1500
44,6.308498,12.3543701171875,1.102362871170044,3,150,10,500,10,0.0,0.5,10,False,0.01,30,1500
45,5.9838023,11.906478881835938,1.0585769414901733,3,150,10,500,10,0.0,0.5,10,False,0.01,30,1500
46,5.6763697,11.464374542236328,1.0156351327896118,3,150,10,500,10,0.0,0.5,10,False,0.01,30,1500
47,5.3999205,11.112552642822266,0.9826989769935608,3,150,10,500,10,0.0,0.5,10,False,0.01,30,1500
48,5.135013,10.713972091674805,0.9431996941566467,3,150,10,500,10,0.0,0.5,10,False,0.01,30,1500
49,4.875208,10.38405704498291,0.9103681445121765,3,150,10,500,10,0.0,0.5,10,False,0.01,30,1500
50,4.633707,10.064318656921387,0.8817177414894104,3,150,10,500,10,0.0,0.5,10,False,0.01,30,1500
