iter,loss_mean,MSE_params,MSE_test,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_test,data_n_features,data_noise_scale,data_noise_weight,data_no_scale,model_n_features,model_bias,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local
0,100.53539368947347,8.652570724487305,109.42761993408203,3,150,10,500,10,0.0,1.5,False,10,False,0.01,,5,300,2
1,80.62171489715575,7.607726573944092,96.82003784179688,3,150,10,500,10,0.0,1.5,False,10,False,0.01,,5,300,2
2,65.23619707743327,6.73089075088501,85.94286346435547,3,150,10,500,10,0.0,1.5,False,10,False,0.01,,5,300,2
3,53.2576712735494,6.042941093444824,77.13095092773438,3,150,10,500,10,0.0,1.5,False,10,False,0.01,,5,300,2
4,43.7276315498352,5.366385459899902,69.01412963867188,3,150,10,500,10,0.0,1.5,False,10,False,0.01,,5,300,2
5,36.524064242045085,4.872990131378174,62.82587432861328,3,150,10,500,10,0.0,1.5,False,10,False,0.01,,5,300,2
6,30.757988850275677,4.448864459991455,57.299766540527344,3,150,10,500,10,0.0,1.5,False,10,False,0.01,,5,300,2
7,26.066858530044556,4.078031063079834,52.47480010986328,3,150,10,500,10,0.0,1.5,False,10,False,0.01,,5,300,2
8,22.406182864507038,3.7704265117645264,48.35803985595703,3,150,10,500,10,0.0,1.5,False,10,False,0.01,,5,300,2
9,19.43184911410014,3.5149950981140137,44.92015838623047,3,150,10,500,10,0.0,1.5,False,10,False,0.01,,5,300,2
10,16.86468222618103,3.290618896484375,41.83622741699219,3,150,10,500,10,0.0,1.5,False,10,False,0.01,,5,300,2
11,14.965031809806824,3.1378767490386963,39.333011627197266,3,150,10,500,10,0.0,1.5,False,10,False,0.01,,5,300,2
12,13.27735238234202,2.9545605182647705,36.82293701171875,3,150,10,500,10,0.0,1.5,False,10,False,0.01,,5,300,2
13,11.915859944025675,2.796783685684204,34.734100341796875,3,150,10,500,10,0.0,1.5,False,10,False,0.01,,5,300,2
14,10.76903339068095,2.696636199951172,33.004539489746094,3,150,10,500,10,0.0,1.5,False,10,False,0.01,,5,300,2
15,9.694983676274617,2.57026743888855,31.254213333129883,3,150,10,500,10,0.0,1.5,False,10,False,0.01,,5,300,2
16,8.852937934398652,2.472464084625244,29.75259780883789,3,150,10,500,10,0.0,1.5,False,10,False,0.01,,5,300,2
17,8.180058450698853,2.393707036972046,28.547725677490234,3,150,10,500,10,0.0,1.5,False,10,False,0.01,,5,300,2
18,7.466459584236145,2.300507068634033,27.15398406982422,3,150,10,500,10,0.0,1.5,False,10,False,0.01,,5,300,2
19,6.920658547878265,2.2064366340637207,25.93747329711914,3,150,10,500,10,0.0,1.5,False,10,False,0.01,,5,300,2
20,6.492032618522644,2.1676604747772217,25.094938278198242,3,150,10,500,10,0.0,1.5,False,10,False,0.01,,5,300,2
21,6.053856357733409,2.1244468688964844,24.246458053588867,3,150,10,500,10,0.0,1.5,False,10,False,0.01,,5,300,2
22,5.667679613828659,2.0441598892211914,23.201457977294922,3,150,10,500,10,0.0,1.5,False,10,False,0.01,,5,300,2
23,5.425479012330373,1.9992974996566772,22.353673934936523,3,150,10,500,10,0.0,1.5,False,10,False,0.01,,5,300,2
24,5.154912074406941,1.9661705493927002,21.780397415161133,3,150,10,500,10,0.0,1.5,False,10,False,0.01,,5,300,2
25,4.894785450696945,1.952824354171753,21.213932037353516,3,150,10,500,10,0.0,1.5,False,10,False,0.01,,5,300,2
26,4.62405477643013,1.9237042665481567,20.580154418945312,3,150,10,500,10,0.0,1.5,False,10,False,0.01,,5,300,2
27,4.376926440397899,1.8783456087112427,19.824005126953125,3,150,10,500,10,0.0,1.5,False,10,False,0.01,,5,300,2
28,4.162692067821821,1.8305343389511108,19.068572998046875,3,150,10,500,10,0.0,1.5,False,10,False,0.01,,5,300,2
29,4.0268328332901,1.7996256351470947,18.557781219482422,3,150,10,500,10,0.0,1.5,False,10,False,0.01,,5,300,2
