iter,loss_mean,MSE_val,MSE_params,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_val,data_n_features,data_noise_scale,data_noise_weight,model_n_features,model_bias,algo_lrate,algo_S,algo_R
0,103.97874,106.0201187133789,9.58996868133545,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
1,97.28875,100.67561340332031,9.080738067626953,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
2,90.75267,95.3655776977539,8.570243835449219,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
3,84.80638,90.51189422607422,8.102087020874023,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
4,79.169716,85.90343475341797,7.660495758056641,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
5,74.24971,81.65403747558594,7.250567436218262,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
6,69.6376,77.6434097290039,6.8647871017456055,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
7,65.251366,73.8261489868164,6.495791912078857,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
8,61.088345,70.26006317138672,6.1572651863098145,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
9,57.280598,67.00530242919922,5.844925880432129,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
10,53.7408,63.75699234008789,5.536047458648682,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
11,50.480434,60.832027435302734,5.259761333465576,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
12,47.43305,58.06327438354492,4.999330520629883,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
13,44.50851,55.35189437866211,4.741536617279053,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
14,41.85066,52.862789154052734,4.502106666564941,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
15,39.29065,50.395469665527344,4.268030166625977,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
16,36.938354,48.267234802246094,4.066498279571533,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
17,34.882137,46.244163513183594,3.8771920204162598,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
18,32.86625,44.263893127441406,3.688028573989868,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
19,30.96477,42.32554626464844,3.503807783126831,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
20,29.199297,40.500484466552734,3.332977771759033,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
21,27.544668,38.889034271240234,3.186579942703247,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
22,25.9714,37.243919372558594,3.030165195465088,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
23,24.558601,35.83169174194336,2.896571636199951,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
24,23.258595,34.45365524291992,2.766538619995117,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
25,21.99458,33.17901611328125,2.652416229248047,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
26,20.807013,31.959287643432617,2.5384280681610107,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
27,19.707914,30.740676879882812,2.429236888885498,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
28,18.670713,29.642677307128906,2.326397657394409,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
29,17.68958,28.644079208374023,2.2388010025024414,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
30,16.729994,27.476091384887695,2.131620168685913,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
31,15.852228,26.405948638916016,2.0354819297790527,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
32,15.046283,25.51106834411621,1.9553546905517578,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
33,14.286213,24.677104949951172,1.8832672834396362,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
34,13.610176,23.820192337036133,1.8094629049301147,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
35,12.948291,23.09197425842285,1.7434463500976562,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
36,12.321905,22.356306076049805,1.6821640729904175,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
37,11.702279,21.663639068603516,1.6259377002716064,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
38,11.140095,21.016551971435547,1.5772063732147217,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
39,10.637128,20.4248104095459,1.5318201780319214,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
40,10.156792,19.785615921020508,1.4781830310821533,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
41,9.714092,19.258394241333008,1.4354807138442993,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
42,9.272591,18.77060890197754,1.403664469718933,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
43,8.867001,18.211267471313477,1.3562456369400024,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
44,8.4751625,17.704118728637695,1.3169193267822266,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
45,8.105278,17.185523986816406,1.2733738422393799,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
46,7.7711134,16.71714210510254,1.2374029159545898,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
47,7.444222,16.2951717376709,1.207763433456421,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
48,7.1134195,15.896437644958496,1.1814020872116089,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
49,6.822186,15.531497955322266,1.1538268327713013,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
50,6.542521,15.192907333374023,1.1347291469573975,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
51,6.284897,14.800292015075684,1.1050937175750732,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
52,6.037505,14.512206077575684,1.0916236639022827,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
53,5.7996883,14.178281784057617,1.0778359174728394,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
54,5.5748196,13.830299377441406,1.0531549453735352,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
55,5.3573895,13.575765609741211,1.0404880046844482,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
56,5.1696453,13.330531120300293,1.027632236480713,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
57,4.9709725,13.054376602172852,1.0131196975708008,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
58,4.789926,12.771978378295898,0.997143566608429,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
59,4.61726,12.450200080871582,0.9777683019638062,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
60,4.4567165,12.18130111694336,0.9555051922798157,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
61,4.2983937,11.940093994140625,0.9415211081504822,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
62,4.151447,11.741609573364258,0.933163046836853,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
63,4.015005,11.489781379699707,0.9130075573921204,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
64,3.886717,11.282308578491211,0.9021286964416504,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
65,3.7603557,11.0654935836792,0.8890425562858582,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
66,3.6433198,10.880928993225098,0.8798750042915344,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
67,3.5303116,10.701836585998535,0.8761759400367737,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
68,3.4210303,10.582016944885254,0.875260055065155,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
69,3.3119566,10.417973518371582,0.865814208984375,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
70,3.2163851,10.231313705444336,0.8604316115379333,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
71,3.1177995,10.087597846984863,0.8570504188537598,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
72,3.0242066,9.91015911102295,0.8502427339553833,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
73,2.9361804,9.734811782836914,0.8457282185554504,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
74,2.8500245,9.587198257446289,0.8369699716567993,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
75,2.7689881,9.477916717529297,0.8302602767944336,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
76,2.6914084,9.359264373779297,0.827474057674408,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
77,2.61453,9.217860221862793,0.82114177942276,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
78,2.540824,9.077493667602539,0.8190470337867737,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
79,2.4767191,9.001039505004883,0.8228296041488647,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
