iter,loss_mean,MSE_params,MSE_test,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_test,data_n_features,data_noise_scale,data_noise_weight,data_no_scale,model_n_features,model_bias,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local
0,87.62355939229329,8.593257904052734,96.609619140625,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
1,69.94582397460937,7.4561686515808105,84.13762664794922,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
2,55.96350723266602,6.543625354766846,73.97724151611328,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
3,45.25382500330607,5.734244346618652,65.16409301757812,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
4,37.21584212621053,5.105154514312744,58.094329833984375,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
5,30.879862969716388,4.589270114898682,52.413265228271484,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
6,25.813904422124228,4.15287971496582,47.56488800048828,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
7,21.76348577181498,3.796494245529175,43.49448776245117,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
8,18.409765793482464,3.430814266204834,39.456581115722656,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
9,15.8210413869222,3.1211607456207275,36.047607421875,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
10,13.704768126805623,2.887378215789795,33.382965087890625,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
11,12.018537893295289,2.6688504219055176,30.915075302124023,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
12,10.451035882631938,2.4816033840179443,28.794050216674805,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
13,9.37793000539144,2.3301212787628174,27.011295318603516,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
14,8.307555207411449,2.1896138191223145,25.305078506469727,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
15,7.368378757635752,2.0300419330596924,23.482187271118164,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
16,6.7088911215464275,1.9333794116973877,22.265838623046875,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
17,6.046854537328084,1.8243553638458252,21.022907257080078,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
18,5.52312984307607,1.7275179624557495,19.794536590576172,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
19,5.087790142695109,1.6399062871932983,18.697935104370117,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
20,4.725039307276408,1.5725942850112915,17.88311004638672,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
21,4.395300397475561,1.5099200010299683,17.088844299316406,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
22,4.08528941432635,1.481940746307373,16.46751594543457,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
23,3.8203232153256734,1.4111244678497314,15.642931938171387,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
24,3.624273653825124,1.3723477125167847,15.104028701782227,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
25,3.4637288681666054,1.3283380270004272,14.630688667297363,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
26,3.3048967762788135,1.2824819087982178,14.12204647064209,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
27,3.133387746810913,1.2360519170761108,13.539082527160645,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
28,2.9825671048959097,1.2141600847244263,13.094463348388672,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
29,2.8247462129592895,1.1710638999938965,12.651827812194824,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
30,2.7395762932300567,1.1463491916656494,12.30428695678711,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
31,2.6361161924401917,1.1260000467300415,11.982271194458008,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
32,2.554011377195517,1.1089861392974854,11.728075981140137,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
33,2.464720389743646,1.0934696197509766,11.51928997039795,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
34,2.362148280441761,1.0681428909301758,11.172325134277344,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
35,2.2653577067454655,1.0392677783966064,10.8400297164917,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
36,2.2109273570775985,1.0197970867156982,10.63653564453125,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
37,2.1280094907681146,1.003268837928772,10.423315048217773,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
38,2.059747421344121,0.9704062342643738,10.13692855834961,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
39,2.01830491065979,0.9523103833198547,9.877166748046875,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
40,1.991045751174291,0.9351548552513123,9.674051284790039,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
41,1.9545923818151156,0.9202063083648682,9.45412826538086,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
42,1.9344718767205875,0.9175099730491638,9.458317756652832,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
43,1.8734616949160894,0.9084162712097168,9.32063102722168,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
44,1.8476389806469282,0.9007088541984558,9.165080070495605,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
45,1.8067748401562373,0.8952078223228455,9.070919036865234,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
46,1.7978365129232408,0.8966799974441528,8.95313549041748,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
47,1.781816419561704,0.8788767457008362,8.816612243652344,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
48,1.7638904118537904,0.8702190518379211,8.683870315551758,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
49,1.7430863018830618,0.864883542060852,8.560210227966309,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
50,1.7086021862427394,0.8483912944793701,8.339844703674316,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
51,1.698670625090599,0.8401641249656677,8.270853996276855,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
52,1.7118511811892192,0.8470156192779541,8.300729751586914,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
53,1.6876066627105077,0.8313986659049988,8.164539337158203,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
54,1.6280719943841298,0.8097440004348755,7.977776050567627,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
55,1.6371153034766515,0.8160889148712158,8.021856307983398,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
56,1.6193176932136217,0.8297843337059021,8.055130958557129,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
57,1.61231721252203,0.8266281485557556,8.024649620056152,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
58,1.5683117000261944,0.810614824295044,7.856101036071777,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
59,1.5738004225492477,0.8153861165046692,7.873312473297119,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
60,1.5582660567760467,0.8096304535865784,7.825902462005615,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
