iter,loss_mean,MSE_val,MSE_params,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_val,data_n_features,data_noise_scale,data_noise_weight,model_n_features,model_bias,algo_lrate,algo_S,algo_R
0,91.23428,95.47540283203125,9.580138206481934,3,150,10,500,10,0.0,0.1,10,False,0.01,30,1500
1,85.17119,90.18531799316406,9.05412483215332,3,150,10,500,10,0.0,0.1,10,False,0.01,30,1500
2,79.30906,85.10712432861328,8.54680061340332,3,150,10,500,10,0.0,0.1,10,False,0.01,30,1500
3,73.92795,80.3592300415039,8.07492446899414,3,150,10,500,10,0.0,0.1,10,False,0.01,30,1500
4,68.99108,76.15271759033203,7.6563801765441895,3,150,10,500,10,0.0,0.1,10,False,0.01,30,1500
5,64.4876,72.1772689819336,7.258535385131836,3,150,10,500,10,0.0,0.1,10,False,0.01,30,1500
6,60.31229,68.41902160644531,6.88316011428833,3,150,10,500,10,0.0,0.1,10,False,0.01,30,1500
7,56.361004,64.7905044555664,6.520901203155518,3,150,10,500,10,0.0,0.1,10,False,0.01,30,1500
8,52.57234,61.40576171875,6.181822299957275,3,150,10,500,10,0.0,0.1,10,False,0.01,30,1500
9,49.150013,58.1787109375,5.857915878295898,3,150,10,500,10,0.0,0.1,10,False,0.01,30,1500
10,45.936802,55.13367462158203,5.553169250488281,3,150,10,500,10,0.0,0.1,10,False,0.01,30,1500
11,42.968384,52.26139450073242,5.264462471008301,3,150,10,500,10,0.0,0.1,10,False,0.01,30,1500
12,40.22533,49.50028991699219,4.989426612854004,3,150,10,500,10,0.0,0.1,10,False,0.01,30,1500
13,37.609074,46.893795013427734,4.727543354034424,3,150,10,500,10,0.0,0.1,10,False,0.01,30,1500
14,35.23383,44.50111389160156,4.487271785736084,3,150,10,500,10,0.0,0.1,10,False,0.01,30,1500
15,32.978794,42.18992233276367,4.255016803741455,3,150,10,500,10,0.0,0.1,10,False,0.01,30,1500
16,30.877045,40.077392578125,4.042825222015381,3,150,10,500,10,0.0,0.1,10,False,0.01,30,1500
17,28.998919,38.10960388183594,3.845902919769287,3,150,10,500,10,0.0,0.1,10,False,0.01,30,1500
18,27.21657,36.125953674316406,3.6469154357910156,3,150,10,500,10,0.0,0.1,10,False,0.01,30,1500
19,25.523407,34.33154296875,3.4675583839416504,3,150,10,500,10,0.0,0.1,10,False,0.01,30,1500
20,23.93501,32.58242416381836,3.2915549278259277,3,150,10,500,10,0.0,0.1,10,False,0.01,30,1500
21,22.46796,31.09016990661621,3.139826774597168,3,150,10,500,10,0.0,0.1,10,False,0.01,30,1500
22,21.064486,29.542272567749023,2.983952760696411,3,150,10,500,10,0.0,0.1,10,False,0.01,30,1500
23,19.77683,28.084033966064453,2.8373188972473145,3,150,10,500,10,0.0,0.1,10,False,0.01,30,1500
24,18.562082,26.719379425048828,2.6992101669311523,3,150,10,500,10,0.0,0.1,10,False,0.01,30,1500
25,17.439919,25.47751808166504,2.5740103721618652,3,150,10,500,10,0.0,0.1,10,False,0.01,30,1500
26,16.377245,24.285655975341797,2.452558755874634,3,150,10,500,10,0.0,0.1,10,False,0.01,30,1500
27,15.382916,23.11457633972168,2.333596706390381,3,150,10,500,10,0.0,0.1,10,False,0.01,30,1500
28,14.470348,22.063039779663086,2.227186441421509,3,150,10,500,10,0.0,0.1,10,False,0.01,30,1500
29,13.607122,21.102737426757812,2.1300172805786133,3,150,10,500,10,0.0,0.1,10,False,0.01,30,1500
30,12.766876,20.085269927978516,2.026160955429077,3,150,10,500,10,0.0,0.1,10,False,0.01,30,1500
31,12.009862,19.10740852355957,1.9267102479934692,3,150,10,500,10,0.0,0.1,10,False,0.01,30,1500
32,11.292879,18.2353458404541,1.8378715515136719,3,150,10,500,10,0.0,0.1,10,False,0.01,30,1500
33,10.6328945,17.387466430664062,1.7518339157104492,3,150,10,500,10,0.0,0.1,10,False,0.01,30,1500
34,10.017011,16.608646392822266,1.6726338863372803,3,150,10,500,10,0.0,0.1,10,False,0.01,30,1500
35,9.435895,15.801891326904297,1.5906952619552612,3,150,10,500,10,0.0,0.1,10,False,0.01,30,1500
36,8.88878,15.095845222473145,1.5178450345993042,3,150,10,500,10,0.0,0.1,10,False,0.01,30,1500
37,8.37445,14.40313720703125,1.4470324516296387,3,150,10,500,10,0.0,0.1,10,False,0.01,30,1500
38,7.892418,13.803893089294434,1.3856276273727417,3,150,10,500,10,0.0,0.1,10,False,0.01,30,1500
39,7.450998,13.18614387512207,1.321786880493164,3,150,10,500,10,0.0,0.1,10,False,0.01,30,1500
40,7.028142,12.578743934631348,1.259437084197998,3,150,10,500,10,0.0,0.1,10,False,0.01,30,1500
41,6.6308193,12.005470275878906,1.20088529586792,3,150,10,500,10,0.0,0.1,10,False,0.01,30,1500
42,6.260336,11.537540435791016,1.1527457237243652,3,150,10,500,10,0.0,0.1,10,False,0.01,30,1500
43,5.9127884,11.046343803405762,1.1014782190322876,3,150,10,500,10,0.0,0.1,10,False,0.01,30,1500
44,5.5886483,10.567039489746094,1.0518099069595337,3,150,10,500,10,0.0,0.1,10,False,0.01,30,1500
45,5.278872,10.10204792022705,1.0037291049957275,3,150,10,500,10,0.0,0.1,10,False,0.01,30,1500
46,4.986116,9.674033164978027,0.9598562717437744,3,150,10,500,10,0.0,0.1,10,False,0.01,30,1500
47,4.7184067,9.257160186767578,0.916850209236145,3,150,10,500,10,0.0,0.1,10,False,0.01,30,1500
48,4.457269,8.883634567260742,0.8779175877571106,3,150,10,500,10,0.0,0.1,10,False,0.01,30,1500
49,4.216013,8.557924270629883,0.844052791595459,3,150,10,500,10,0.0,0.1,10,False,0.01,30,1500
50,3.990365,8.215315818786621,0.8087775707244873,3,150,10,500,10,0.0,0.1,10,False,0.01,30,1500
51,3.777474,7.877894878387451,0.7736501097679138,3,150,10,500,10,0.0,0.1,10,False,0.01,30,1500
52,3.5793738,7.557119369506836,0.7401912808418274,3,150,10,500,10,0.0,0.1,10,False,0.01,30,1500
53,3.393402,7.234158039093018,0.7061691284179688,3,150,10,500,10,0.0,0.1,10,False,0.01,30,1500
54,3.219046,6.970709800720215,0.6781384348869324,3,150,10,500,10,0.0,0.1,10,False,0.01,30,1500
55,3.0536802,6.6816534996032715,0.6478445529937744,3,150,10,500,10,0.0,0.1,10,False,0.01,30,1500
56,2.8999007,6.416550636291504,0.6199938654899597,3,150,10,500,10,0.0,0.1,10,False,0.01,30,1500
57,2.7585235,6.175992965698242,0.5948879718780518,3,150,10,500,10,0.0,0.1,10,False,0.01,30,1500
58,2.6193469,5.967831611633301,0.5728785991668701,3,150,10,500,10,0.0,0.1,10,False,0.01,30,1500
59,2.4934912,5.722832679748535,0.5467990636825562,3,150,10,500,10,0.0,0.1,10,False,0.01,30,1500
60,2.3727942,5.522388458251953,0.5256645083427429,3,150,10,500,10,0.0,0.1,10,False,0.01,30,1500
61,2.2580428,5.312569618225098,0.5032510757446289,3,150,10,500,10,0.0,0.1,10,False,0.01,30,1500
62,2.1495337,5.135532379150391,0.4842334985733032,3,150,10,500,10,0.0,0.1,10,False,0.01,30,1500
63,2.0484116,4.9408278465271,0.4635907709598541,3,150,10,500,10,0.0,0.1,10,False,0.01,30,1500
64,1.9542916,4.758205890655518,0.4439340829849243,3,150,10,500,10,0.0,0.1,10,False,0.01,30,1500
