iter,loss_mean,MSE_val,MSE_params,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_val,data_n_features,data_noise_scale,data_noise_weight,model_n_features,model_bias,algo_lrate,algo_S,algo_R
0,104.87213,106.50688171386719,9.629270553588867,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
1,98.093994,101.00463104248047,9.100135803222656,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
2,91.83555,95.89107513427734,8.605107307434082,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
3,85.90348,91.08025360107422,8.149126052856445,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
4,80.40948,86.46430969238281,7.702334880828857,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
5,75.382774,82.2667007446289,7.303950309753418,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
6,70.57023,78.27681732177734,6.921020030975342,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
7,66.12458,74.43473815917969,6.552501678466797,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
8,62.053547,70.97388458251953,6.221165180206299,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
9,58.301548,67.7994384765625,5.918290138244629,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
10,54.645046,64.72731018066406,5.631031036376953,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
11,51.278843,61.718509674072266,5.345233917236328,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
12,48.23137,58.88340759277344,5.076237678527832,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
13,45.281925,56.108680725097656,4.818123817443848,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
14,42.49827,53.605682373046875,4.574767112731934,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
15,39.949547,51.11053466796875,4.340888977050781,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
16,37.592983,48.78178024291992,4.122488021850586,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
17,35.4278,46.719696044921875,3.9187285900115967,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
18,33.32869,44.68933868408203,3.7284157276153564,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
19,31.37822,42.71643829345703,3.5386898517608643,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
20,29.55325,40.89014434814453,3.371171236038208,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
21,27.890099,39.22121810913086,3.2196035385131836,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
