iter,loss_mean,MSE_params,MSE_test,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_test,data_n_features,data_noise_scale,data_noise_weight,data_no_scale,model_n_features,model_bias,algo_lrate,algo_lmbd,algo_S,algo_R,algo_R_local
0,76.8644689687093,8.608649253845215,87.18533325195312,3,150,10,500,10,0.0,0.1,False,10,False,0.01,1,5,300,2
1,60.909922415415444,7.470033645629883,75.64401245117188,3,150,10,500,10,0.0,0.1,False,10,False,0.01,1,5,300,2
2,49.02231794993083,6.56836462020874,66.53739929199219,3,150,10,500,10,0.0,0.1,False,10,False,0.01,1,5,300,2
3,39.82337588628133,5.807827949523926,58.858821868896484,3,150,10,500,10,0.0,0.1,False,10,False,0.01,1,5,300,2
4,32.32080715815226,5.120744228363037,51.909820556640625,3,150,10,500,10,0.0,0.1,False,10,False,0.01,1,5,300,2
5,26.537972825368247,4.540223121643066,46.0433464050293,3,150,10,500,10,0.0,0.1,False,10,False,0.01,1,5,300,2
6,22.06234372138977,4.064607620239258,41.27824783325195,3,150,10,500,10,0.0,0.1,False,10,False,0.01,1,5,300,2
7,18.486312506993613,3.6727540493011475,37.33674240112305,3,150,10,500,10,0.0,0.1,False,10,False,0.01,1,5,300,2
8,15.698562768300375,3.3363990783691406,33.9815788269043,3,150,10,500,10,0.0,0.1,False,10,False,0.01,1,5,300,2
9,13.29699693997701,3.020453691482544,30.802387237548828,3,150,10,500,10,0.0,0.1,False,10,False,0.01,1,5,300,2
10,11.337646598815917,2.769573211669922,28.279340744018555,3,150,10,500,10,0.0,0.1,False,10,False,0.01,1,5,300,2
11,9.806621128718058,2.536945343017578,25.940481185913086,3,150,10,500,10,0.0,0.1,False,10,False,0.01,1,5,300,2
12,8.452566418647766,2.3310036659240723,23.883577346801758,3,150,10,500,10,0.0,0.1,False,10,False,0.01,1,5,300,2
13,7.293912072181701,2.1169629096984863,21.74799346923828,3,150,10,500,10,0.0,0.1,False,10,False,0.01,1,5,300,2
14,6.3976928234100345,1.9401443004608154,19.965496063232422,3,150,10,500,10,0.0,0.1,False,10,False,0.01,1,5,300,2
15,5.588820486068726,1.7760610580444336,18.303491592407227,3,150,10,500,10,0.0,0.1,False,10,False,0.01,1,5,300,2
16,5.035150087674459,1.6511937379837036,17.072050094604492,3,150,10,500,10,0.0,0.1,False,10,False,0.01,1,5,300,2
17,4.566882703701655,1.5563362836837769,16.11229705810547,3,150,10,500,10,0.0,0.1,False,10,False,0.01,1,5,300,2
