iter,loss_mean,MSE_val,MSE_params,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_val,data_n_features,data_noise_scale,data_noise_weight,model_n_features,model_bias,algo_lrate,algo_lmbd,algo_S,algo_R,algo_R_local
0,91.26516,95.59564971923828,9.593873977661133,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
1,85.187965,90.39788818359375,9.07298755645752,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
2,79.362236,85.480224609375,8.584268569946289,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
3,74.04029,80.79270935058594,8.116848945617676,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
4,69.25805,76.3963851928711,7.67777681350708,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
5,64.832344,72.38179779052734,7.278242588043213,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
6,60.52574,68.4349365234375,6.882606029510498,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
7,56.595417,64.81071472167969,6.5200276374816895,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
8,52.91531,61.3499870300293,6.17585563659668,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
9,49.502254,58.240867614746094,5.86511754989624,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
10,46.297638,55.26954650878906,5.567663669586182,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
11,43.361217,52.518104553222656,5.294010639190674,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
12,40.562656,49.75102996826172,5.016767501831055,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
13,37.931095,47.103065490722656,4.752399921417236,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
14,35.516235,44.679466247558594,4.509390354156494,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
15,33.256565,42.48701095581055,4.287749767303467,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
16,31.140612,40.31888198852539,4.0701398849487305,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
17,29.241856,38.32168197631836,3.8701090812683105,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
18,27.386272,36.370277404785156,3.673985242843628,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
19,25.684824,34.58218765258789,3.4932429790496826,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
20,24.040026,32.9835205078125,3.3308181762695312,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
21,22.542507,31.370004653930664,3.1671667098999023,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
22,21.163702,29.85808753967285,3.015160083770752,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
23,19.838245,28.34173583984375,2.8623151779174805,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
24,18.596874,26.981489181518555,2.7251014709472656,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
25,17.439983,25.670148849487305,2.5927038192749023,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
26,16.38051,24.5112247467041,2.475229263305664,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
27,15.397936,23.359464645385742,2.357813835144043,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
28,14.48569,22.298648834228516,2.250020742416382,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
29,13.625782,21.214441299438477,2.140230655670166,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
30,12.820571,20.248422622680664,2.043123722076416,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
31,12.06748,19.296693801879883,1.946739912033081,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
32,11.355485,18.362825393676758,1.8517539501190186,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
33,10.682098,17.571115493774414,1.7707507610321045,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
34,10.060909,16.765766143798828,1.6883310079574585,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
35,9.472326,15.959207534790039,1.6064472198486328,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
36,8.924375,15.184459686279297,1.527510643005371,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
37,8.401632,14.4977445602417,1.4576318264007568,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
38,7.932943,13.871535301208496,1.394457221031189,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
39,7.4714537,13.251444816589355,1.3302955627441406,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
40,7.047254,12.615959167480469,1.2650381326675415,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
41,6.64501,12.064018249511719,1.207977056503296,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
42,6.2678022,11.539804458618164,1.1535143852233887,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
43,5.916178,11.051583290100098,1.1024903059005737,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
44,5.583589,10.549919128417969,1.0504645109176636,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
45,5.2751083,10.091629028320312,1.0030332803726196,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
46,4.9848413,9.701231956481934,0.9627707004547119,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
47,4.714715,9.296122550964355,0.9202942252159119,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
48,4.458571,8.870071411132812,0.8763810396194458,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
49,4.218717,8.483911514282227,0.8361403346061707,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
50,3.9957442,8.107196807861328,0.7970131635665894,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
51,3.78656,7.753171443939209,0.7603987455368042,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
52,3.5893962,7.453732490539551,0.7287976145744324,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
53,3.4055543,7.158646106719971,0.6977697610855103,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
54,3.2325513,6.865458965301514,0.6668661236763,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
55,3.0678988,6.61466646194458,0.6403718590736389,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
56,2.9132361,6.338320732116699,0.6113013625144958,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
57,2.7665842,6.08636474609375,0.5849817991256714,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
58,2.631084,5.865476131439209,0.5619242191314697,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
59,2.502037,5.641570568084717,0.5381583571434021,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
60,2.378719,5.436711311340332,0.5164936184883118,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
61,2.2645528,5.230630397796631,0.49484512209892273,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
62,2.157034,5.053305625915527,0.47593796253204346,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
63,2.055975,4.872385501861572,0.45637014508247375,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
64,1.9616431,4.699096202850342,0.4380975365638733,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
65,1.8725431,4.547731876373291,0.42152139544487,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
66,1.7901088,4.3783278465271,0.4034625291824341,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
67,1.7103516,4.261929988861084,0.39064475893974304,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
68,1.635853,4.133938312530518,0.37648719549179077,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
69,1.5650877,3.998178482055664,0.3620705306529999,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
70,1.4992535,3.8586618900299072,0.34700796008110046,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
71,1.4365702,3.7462289333343506,0.3348080813884735,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
72,1.3780284,3.6357438564300537,0.3228239119052887,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
73,1.3230788,3.525120496749878,0.31083711981773376,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
74,1.2708063,3.4151835441589355,0.298854261636734,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
75,1.2228065,3.3077316284179688,0.287325918674469,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
76,1.175815,3.207021474838257,0.2764833867549896,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
77,1.1328441,3.119917154312134,0.2667538821697235,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
78,1.0906605,3.0475542545318604,0.2588544487953186,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
79,1.0512905,2.9718024730682373,0.2506556808948517,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
80,1.0146931,2.890592098236084,0.24174469709396362,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
81,0.97870076,2.835946798324585,0.2353767454624176,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
82,0.94540936,2.7806220054626465,0.22891075909137726,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
83,0.9132888,2.719412088394165,0.22197715938091278,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
84,0.8837463,2.6488757133483887,0.21405622363090515,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
85,0.85614204,2.595259189605713,0.20798838138580322,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
86,0.8296781,2.5293397903442383,0.20054744184017181,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
87,0.8041608,2.4715871810913086,0.19425269961357117,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
88,0.7810086,2.425790309906006,0.18924914300441742,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
89,0.758527,2.3919472694396973,0.1852618306875229,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
90,0.73641837,2.3426096439361572,0.17973743379116058,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
91,0.71624655,2.2914493083953857,0.17391498386859894,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
92,0.6968228,2.2554078102111816,0.17004317045211792,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
93,0.6783591,2.2082479000091553,0.16461995244026184,3,150,10,500,10,0.0,0.1,10,False,0.01,1,30,1500,0
