iter,loss_mean,MSE_val,MSE_params,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_val,data_n_features,data_noise_scale,data_noise_weight,model_n_features,model_bias,algo_lrate,algo_lmbd,algo_S,algo_R,algo_R_local
0,104.59045,106.51528930664062,9.643736839294434,3,150,10,500,10,0.0,1.0,10,False,0.01,1,30,1500,0
1,97.60852,100.89414978027344,9.101496696472168,3,150,10,500,10,0.0,1.0,10,False,0.01,1,30,1500,0
2,91.10936,95.68585205078125,8.60888385772705,3,150,10,500,10,0.0,1.0,10,False,0.01,1,30,1500,0
3,85.1306,90.86571502685547,8.146890640258789,3,150,10,500,10,0.0,1.0,10,False,0.01,1,30,1500,0
4,79.69051,86.12884521484375,7.69333028793335,3,150,10,500,10,0.0,1.0,10,False,0.01,1,30,1500,0
5,74.3436,81.639404296875,7.261050701141357,3,150,10,500,10,0.0,1.0,10,False,0.01,1,30,1500,0
6,69.502815,77.56471252441406,6.8723530769348145,3,150,10,500,10,0.0,1.0,10,False,0.01,1,30,1500,0
7,65.174736,73.65940856933594,6.495163440704346,3,150,10,500,10,0.0,1.0,10,False,0.01,1,30,1500,0
8,60.96327,70.07327270507812,6.159720420837402,3,150,10,500,10,0.0,1.0,10,False,0.01,1,30,1500,0
9,57.156757,66.74647521972656,5.845709800720215,3,150,10,500,10,0.0,1.0,10,False,0.01,1,30,1500,0
10,53.733326,63.716400146484375,5.557783126831055,3,150,10,500,10,0.0,1.0,10,False,0.01,1,30,1500,0
11,50.43174,60.794368743896484,5.2778120040893555,3,150,10,500,10,0.0,1.0,10,False,0.01,1,30,1500,0
12,47.382442,57.97114562988281,5.005304336547852,3,150,10,500,10,0.0,1.0,10,False,0.01,1,30,1500,0
13,44.57716,55.52722930908203,4.771673679351807,3,150,10,500,10,0.0,1.0,10,False,0.01,1,30,1500,0
14,41.93124,53.06787872314453,4.533388137817383,3,150,10,500,10,0.0,1.0,10,False,0.01,1,30,1500,0
15,39.44448,50.87191390991211,4.321996688842773,3,150,10,500,10,0.0,1.0,10,False,0.01,1,30,1500,0
16,37.130463,48.600650787353516,4.106855392456055,3,150,10,500,10,0.0,1.0,10,False,0.01,1,30,1500,0
17,34.965477,46.60012435913086,3.914663553237915,3,150,10,500,10,0.0,1.0,10,False,0.01,1,30,1500,0
18,32.907234,44.61899948120117,3.728006601333618,3,150,10,500,10,0.0,1.0,10,False,0.01,1,30,1500,0
19,31.026985,42.745792388916016,3.5541133880615234,3,150,10,500,10,0.0,1.0,10,False,0.01,1,30,1500,0
20,29.26789,40.94676971435547,3.382596969604492,3,150,10,500,10,0.0,1.0,10,False,0.01,1,30,1500,0
21,27.57782,39.240909576416016,3.217722177505493,3,150,10,500,10,0.0,1.0,10,False,0.01,1,30,1500,0
22,26.05962,37.64352798461914,3.0658376216888428,3,150,10,500,10,0.0,1.0,10,False,0.01,1,30,1500,0
23,24.58344,36.14195251464844,2.924586296081543,3,150,10,500,10,0.0,1.0,10,False,0.01,1,30,1500,0
24,23.190779,34.64779281616211,2.783935070037842,3,150,10,500,10,0.0,1.0,10,False,0.01,1,30,1500,0
25,21.938154,33.38209533691406,2.6671454906463623,3,150,10,500,10,0.0,1.0,10,False,0.01,1,30,1500,0
26,20.738642,32.063358306884766,2.5524868965148926,3,150,10,500,10,0.0,1.0,10,False,0.01,1,30,1500,0
27,19.652065,30.873779296875,2.445220470428467,3,150,10,500,10,0.0,1.0,10,False,0.01,1,30,1500,0
28,18.61319,29.72412109375,2.341348886489868,3,150,10,500,10,0.0,1.0,10,False,0.01,1,30,1500,0
29,17.66746,28.66229820251465,2.243896722793579,3,150,10,500,10,0.0,1.0,10,False,0.01,1,30,1500,0
30,16.751186,27.69074249267578,2.157313585281372,3,150,10,500,10,0.0,1.0,10,False,0.01,1,30,1500,0
31,15.866347,26.685630798339844,2.068183422088623,3,150,10,500,10,0.0,1.0,10,False,0.01,1,30,1500,0
32,15.06794,25.796920776367188,1.9882444143295288,3,150,10,500,10,0.0,1.0,10,False,0.01,1,30,1500,0
33,14.323716,24.8747501373291,1.9055390357971191,3,150,10,500,10,0.0,1.0,10,False,0.01,1,30,1500,0
34,13.619628,24.127605438232422,1.8410977125167847,3,150,10,500,10,0.0,1.0,10,False,0.01,1,30,1500,0
35,12.942534,23.411983489990234,1.7863832712173462,3,150,10,500,10,0.0,1.0,10,False,0.01,1,30,1500,0
36,12.300466,22.63412094116211,1.721643090248108,3,150,10,500,10,0.0,1.0,10,False,0.01,1,30,1500,0
37,11.714302,21.892744064331055,1.6545569896697998,3,150,10,500,10,0.0,1.0,10,False,0.01,1,30,1500,0
38,11.1690645,21.220205307006836,1.6000829935073853,3,150,10,500,10,0.0,1.0,10,False,0.01,1,30,1500,0
