iter,loss_mean,MSE_params,MSE_test,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_test,data_n_features,data_noise_scale,data_noise_weight,data_no_scale,model_n_features,model_bias,algo_lrate,algo_lmbd,algo_S,algo_R,algo_R_local
0,88.00678886413574,8.648968696594238,97.1915054321289,3,150,10,500,10,0.0,1.0,False,10,False,0.01,1,5,300,2
1,69.907678565979,7.52720308303833,84.97451782226562,3,150,10,500,10,0.0,1.0,False,10,False,0.01,1,5,300,2
2,56.45838157653809,6.641970157623291,75.2408447265625,3,150,10,500,10,0.0,1.0,False,10,False,0.01,1,5,300,2
3,45.856739603678385,5.891121864318848,66.90177917480469,3,150,10,500,10,0.0,1.0,False,10,False,0.01,1,5,300,2
4,37.57615145365397,5.264217853546143,59.82229232788086,3,150,10,500,10,0.0,1.0,False,10,False,0.01,1,5,300,2
5,31.249246991475424,4.738304615020752,53.97827911376953,3,150,10,500,10,0.0,1.0,False,10,False,0.01,1,5,300,2
6,26.2211657555898,4.252349376678467,48.708892822265625,3,150,10,500,10,0.0,1.0,False,10,False,0.01,1,5,300,2
7,22.177625865936278,3.8492417335510254,44.21120071411133,3,150,10,500,10,0.0,1.0,False,10,False,0.01,1,5,300,2
8,18.854791062672934,3.5146844387054443,40.52231216430664,3,150,10,500,10,0.0,1.0,False,10,False,0.01,1,5,300,2
9,16.252950789133706,3.222867012023926,37.31922149658203,3,150,10,500,10,0.0,1.0,False,10,False,0.01,1,5,300,2
10,14.276728881200155,2.9909846782684326,34.72525405883789,3,150,10,500,10,0.0,1.0,False,10,False,0.01,1,5,300,2
11,12.448991866111756,2.773556709289551,32.27837371826172,3,150,10,500,10,0.0,1.0,False,10,False,0.01,1,5,300,2
12,10.952443103790284,2.568634510040283,30.007080078125,3,150,10,500,10,0.0,1.0,False,10,False,0.01,1,5,300,2
13,9.579265138308207,2.3714191913604736,27.73146629333496,3,150,10,500,10,0.0,1.0,False,10,False,0.01,1,5,300,2
14,8.53185836950938,2.2419309616088867,26.029069900512695,3,150,10,500,10,0.0,1.0,False,10,False,0.01,1,5,300,2
15,7.597678008079529,2.0965399742126465,24.25042152404785,3,150,10,500,10,0.0,1.0,False,10,False,0.01,1,5,300,2
16,6.799284019470215,1.9719327688217163,22.790910720825195,3,150,10,500,10,0.0,1.0,False,10,False,0.01,1,5,300,2
17,6.174656805992126,1.8685342073440552,21.481584548950195,3,150,10,500,10,0.0,1.0,False,10,False,0.01,1,5,300,2
18,5.601232785383861,1.7827571630477905,20.41899299621582,3,150,10,500,10,0.0,1.0,False,10,False,0.01,1,5,300,2
19,5.09805942495664,1.695020318031311,19.27043914794922,3,150,10,500,10,0.0,1.0,False,10,False,0.01,1,5,300,2
20,4.704706391890844,1.6284257173538208,18.417699813842773,3,150,10,500,10,0.0,1.0,False,10,False,0.01,1,5,300,2
21,4.368057142098745,1.5437793731689453,17.363407135009766,3,150,10,500,10,0.0,1.0,False,10,False,0.01,1,5,300,2
22,4.082799880107244,1.4952716827392578,16.645008087158203,3,150,10,500,10,0.0,1.0,False,10,False,0.01,1,5,300,2
