iter,loss_mean,MSE_val,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_val,data_n_features,data_noise_scale,data_noise_weight,model_max_depth,algo_lmbd,algo_S,algo_R
0,8.766022376662265,169.3420158889581,3,150,10,500,10,0.0,1.5,5,0.05,30,200
1,10.559890249289268,169.36845634497737,3,150,10,500,10,0.0,1.5,5,0.05,30,200
2,12.570835414710366,164.08647589443143,3,150,10,500,10,0.0,1.5,5,0.05,30,200
3,13.84372187023397,161.00429972121913,3,150,10,500,10,0.0,1.5,5,0.05,30,200
4,14.372406869617253,156.38095864063916,3,150,10,500,10,0.0,1.5,5,0.05,30,200
5,15.90641556715526,154.18354430200003,3,150,10,500,10,0.0,1.5,5,0.05,30,200
6,16.7124981705454,153.0253915919264,3,150,10,500,10,0.0,1.5,5,0.05,30,200
7,18.393933945876984,150.90461073403372,3,150,10,500,10,0.0,1.5,5,0.05,30,200
8,18.835779542023673,149.4240714805096,3,150,10,500,10,0.0,1.5,5,0.05,30,200
9,18.949268833355042,148.37940692787583,3,150,10,500,10,0.0,1.5,5,0.05,30,200
10,20.291364486707245,146.6000077799866,3,150,10,500,10,0.0,1.5,5,0.05,30,200
11,21.548183193244334,144.65358127062112,3,150,10,500,10,0.0,1.5,5,0.05,30,200
12,21.895962698514698,142.90836553988134,3,150,10,500,10,0.0,1.5,5,0.05,30,200
13,23.956729723628346,144.46520401200527,3,150,10,500,10,0.0,1.5,5,0.05,30,200
14,25.19452327661238,142.38150378789172,3,150,10,500,10,0.0,1.5,5,0.05,30,200
15,25.408003987887096,141.78747427483216,3,150,10,500,10,0.0,1.5,5,0.05,30,200
16,25.81569351649983,140.4184979635941,3,150,10,500,10,0.0,1.5,5,0.05,30,200
17,27.197180524346873,143.40526642648754,3,150,10,500,10,0.0,1.5,5,0.05,30,200
18,27.454929005854392,136.9750898538483,3,150,10,500,10,0.0,1.5,5,0.05,30,200
19,28.531971587943243,137.6795652840505,3,150,10,500,10,0.0,1.5,5,0.05,30,200
20,28.425131498891634,136.3470990416927,3,150,10,500,10,0.0,1.5,5,0.05,30,200
21,28.953625407620184,135.02509411180597,3,150,10,500,10,0.0,1.5,5,0.05,30,200
22,30.026880123993802,137.2665963227984,3,150,10,500,10,0.0,1.5,5,0.05,30,200
23,29.541155488170407,134.40295450110665,3,150,10,500,10,0.0,1.5,5,0.05,30,200
24,30.647648685663842,132.39090343048113,3,150,10,500,10,0.0,1.5,5,0.05,30,200
25,31.749742611549408,132.09392594237116,3,150,10,500,10,0.0,1.5,5,0.05,30,200
26,31.621298151392754,132.24947963640594,3,150,10,500,10,0.0,1.5,5,0.05,30,200
27,32.839162877678156,133.35738714564968,3,150,10,500,10,0.0,1.5,5,0.05,30,200
28,34.350509374548295,132.42717949600242,3,150,10,500,10,0.0,1.5,5,0.05,30,200
29,34.861893324790955,130.5016135434677,3,150,10,500,10,0.0,1.5,5,0.05,30,200
30,35.650841103964574,131.00637222427008,3,150,10,500,10,0.0,1.5,5,0.05,30,200
31,35.59939142866148,131.0324696827325,3,150,10,500,10,0.0,1.5,5,0.05,30,200
32,37.46609344538071,129.69525354773705,3,150,10,500,10,0.0,1.5,5,0.05,30,200
33,37.040365238966906,130.91371919438305,3,150,10,500,10,0.0,1.5,5,0.05,30,200
34,38.200491864336385,131.52472094478154,3,150,10,500,10,0.0,1.5,5,0.05,30,200
35,37.18787262096555,130.23170976281295,3,150,10,500,10,0.0,1.5,5,0.05,30,200
36,38.50792740730109,130.46598534926252,3,150,10,500,10,0.0,1.5,5,0.05,30,200
37,39.94681462925476,129.89161737124678,3,150,10,500,10,0.0,1.5,5,0.05,30,200
38,39.58430094762308,128.87742149673866,3,150,10,500,10,0.0,1.5,5,0.05,30,200
39,39.99865425408254,129.90323569886579,3,150,10,500,10,0.0,1.5,5,0.05,30,200
40,40.75695997644791,132.30020302251043,3,150,10,500,10,0.0,1.5,5,0.05,30,200
41,40.150203374342226,130.09211803915466,3,150,10,500,10,0.0,1.5,5,0.05,30,200
42,42.50443078324188,129.72155653132765,3,150,10,500,10,0.0,1.5,5,0.05,30,200
43,40.533813417671254,128.75180541496454,3,150,10,500,10,0.0,1.5,5,0.05,30,200
44,41.93193506217226,129.46921633589747,3,150,10,500,10,0.0,1.5,5,0.05,30,200
45,42.018211564331466,127.13087549511006,3,150,10,500,10,0.0,1.5,5,0.05,30,200
46,43.80521469419068,128.13751128385854,3,150,10,500,10,0.0,1.5,5,0.05,30,200
47,45.071848419794044,126.77932262902257,3,150,10,500,10,0.0,1.5,5,0.05,30,200
48,44.49882748199594,128.93198638975696,3,150,10,500,10,0.0,1.5,5,0.05,30,200
49,44.36053990164405,128.63081639170346,3,150,10,500,10,0.0,1.5,5,0.05,30,200
50,45.70590589639499,126.62304718275783,3,150,10,500,10,0.0,1.5,5,0.05,30,200
51,44.905417514953136,128.27447181628852,3,150,10,500,10,0.0,1.5,5,0.05,30,200
52,45.74008477233644,128.56652992309972,3,150,10,500,10,0.0,1.5,5,0.05,30,200
53,45.95693284047996,128.4923885765662,3,150,10,500,10,0.0,1.5,5,0.05,30,200
54,45.425583095479915,127.57136212789041,3,150,10,500,10,0.0,1.5,5,0.05,30,200
55,46.3289253325378,130.7242169781438,3,150,10,500,10,0.0,1.5,5,0.05,30,200
56,46.05234466118063,128.0716204741059,3,150,10,500,10,0.0,1.5,5,0.05,30,200
57,46.481716522814,127.17598725767051,3,150,10,500,10,0.0,1.5,5,0.05,30,200
58,47.16540495579925,127.69204508228304,3,150,10,500,10,0.0,1.5,5,0.05,30,200
59,47.192893919945256,124.9714414099618,3,150,10,500,10,0.0,1.5,5,0.05,30,200
60,47.614370664492064,125.97661573473522,3,150,10,500,10,0.0,1.5,5,0.05,30,200
61,48.635751281002584,128.0873483620189,3,150,10,500,10,0.0,1.5,5,0.05,30,200
62,47.13724850397267,126.97129627708173,3,150,10,500,10,0.0,1.5,5,0.05,30,200
63,48.90079174015407,130.85941435636906,3,150,10,500,10,0.0,1.5,5,0.05,30,200
64,48.88834496438142,127.15785173452039,3,150,10,500,10,0.0,1.5,5,0.05,30,200
65,48.88071680156699,128.35278835846648,3,150,10,500,10,0.0,1.5,5,0.05,30,200
66,49.24647041282465,126.59475649805049,3,150,10,500,10,0.0,1.5,5,0.05,30,200
67,50.046132727452125,128.72828993754004,3,150,10,500,10,0.0,1.5,5,0.05,30,200
68,49.35139664547886,127.43899300178954,3,150,10,500,10,0.0,1.5,5,0.05,30,200
69,49.510677115598796,127.54024654787749,3,150,10,500,10,0.0,1.5,5,0.05,30,200
70,48.841910975063485,127.19868684372841,3,150,10,500,10,0.0,1.5,5,0.05,30,200
71,49.6157308926053,128.01543831164688,3,150,10,500,10,0.0,1.5,5,0.05,30,200
72,48.87430136417799,127.90576009241437,3,150,10,500,10,0.0,1.5,5,0.05,30,200
73,49.482100739205734,126.85874347408564,3,150,10,500,10,0.0,1.5,5,0.05,30,200
74,51.65227891332398,126.96465864401323,3,150,10,500,10,0.0,1.5,5,0.05,30,200
75,50.03254269977492,129.23991001792737,3,150,10,500,10,0.0,1.5,5,0.05,30,200
76,51.52935980387155,128.9222196942821,3,150,10,500,10,0.0,1.5,5,0.05,30,200
77,51.76902986423637,126.70095459482701,3,150,10,500,10,0.0,1.5,5,0.05,30,200
78,54.26240313710553,129.1076022996545,3,150,10,500,10,0.0,1.5,5,0.05,30,200
79,50.972130459297055,127.54220070942266,3,150,10,500,10,0.0,1.5,5,0.05,30,200
80,53.4536686547711,128.16288946638676,3,150,10,500,10,0.0,1.5,5,0.05,30,200
81,53.936069905496026,127.29288353268603,3,150,10,500,10,0.0,1.5,5,0.05,30,200
82,53.70251722991607,130.7977503546537,3,150,10,500,10,0.0,1.5,5,0.05,30,200
83,53.65710420509307,127.47082539323962,3,150,10,500,10,0.0,1.5,5,0.05,30,200
84,53.4285777638467,131.276198072978,3,150,10,500,10,0.0,1.5,5,0.05,30,200
85,54.0806013625099,126.44766393781153,3,150,10,500,10,0.0,1.5,5,0.05,30,200
86,54.22287499475962,130.04396901108984,3,150,10,500,10,0.0,1.5,5,0.05,30,200
87,55.320463283102036,129.15045224715058,3,150,10,500,10,0.0,1.5,5,0.05,30,200
88,54.18574770436878,126.22844387911353,3,150,10,500,10,0.0,1.5,5,0.05,30,200
89,55.28455268578155,126.87689996509138,3,150,10,500,10,0.0,1.5,5,0.05,30,200
90,54.477015963964824,125.95014175820259,3,150,10,500,10,0.0,1.5,5,0.05,30,200
91,56.07078254234806,128.3393365707458,3,150,10,500,10,0.0,1.5,5,0.05,30,200
92,54.88161138351058,128.22769203483233,3,150,10,500,10,0.0,1.5,5,0.05,30,200
93,55.310950390909106,126.82663908783272,3,150,10,500,10,0.0,1.5,5,0.05,30,200
94,56.21499791017329,128.41128753894822,3,150,10,500,10,0.0,1.5,5,0.05,30,200
95,56.44996971027974,126.78114309494285,3,150,10,500,10,0.0,1.5,5,0.05,30,200
96,56.32380559828051,125.47051776691632,3,150,10,500,10,0.0,1.5,5,0.05,30,200
97,54.792759989943164,127.16003933881194,3,150,10,500,10,0.0,1.5,5,0.05,30,200
98,56.402762492720576,130.249219165906,3,150,10,500,10,0.0,1.5,5,0.05,30,200
99,57.72679937206221,127.23336775343324,3,150,10,500,10,0.0,1.5,5,0.05,30,200
100,58.983691294870226,128.6746988916387,3,150,10,500,10,0.0,1.5,5,0.05,30,200
101,56.30548896357988,128.91814724226913,3,150,10,500,10,0.0,1.5,5,0.05,30,200
102,57.79829173104767,129.02422626456672,3,150,10,500,10,0.0,1.5,5,0.05,30,200
103,57.48150085929151,128.90502981436566,3,150,10,500,10,0.0,1.5,5,0.05,30,200
104,58.04734113372559,128.65303135788542,3,150,10,500,10,0.0,1.5,5,0.05,30,200
105,58.54277795970823,127.66646247772485,3,150,10,500,10,0.0,1.5,5,0.05,30,200
