iter,loss_mean,MSE_val,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_val,data_n_features,data_noise_scale,data_noise_weight,model_max_depth,algo_lmbd,algo_S,algo_R
0,8.046035682370924,155.29293290015048,3,150,10,500,10,0.0,1.0,5,0.05,30,200
1,10.443570438430527,149.4754964062233,3,150,10,500,10,0.0,1.0,5,0.05,30,200
2,10.859754323151213,148.2120993875115,3,150,10,500,10,0.0,1.0,5,0.05,30,200
3,11.347201045576822,145.99504983462282,3,150,10,500,10,0.0,1.0,5,0.05,30,200
4,12.99538393785795,142.5951401459016,3,150,10,500,10,0.0,1.0,5,0.05,30,200
5,13.403939628544965,140.78699204068207,3,150,10,500,10,0.0,1.0,5,0.05,30,200
6,14.834838260138689,137.12966046793125,3,150,10,500,10,0.0,1.0,5,0.05,30,200
7,16.980092959713094,136.92400042230324,3,150,10,500,10,0.0,1.0,5,0.05,30,200
8,17.152511730962438,134.32428608400338,3,150,10,500,10,0.0,1.0,5,0.05,30,200
9,16.47334047786998,133.99568972859518,3,150,10,500,10,0.0,1.0,5,0.05,30,200
10,17.819277354613448,131.56400926649636,3,150,10,500,10,0.0,1.0,5,0.05,30,200
11,19.396412262330298,129.85402488553555,3,150,10,500,10,0.0,1.0,5,0.05,30,200
12,19.40654519828614,130.0920277327843,3,150,10,500,10,0.0,1.0,5,0.05,30,200
13,19.40256799362606,128.20000190708097,3,150,10,500,10,0.0,1.0,5,0.05,30,200
14,20.249163751506014,126.80189659637225,3,150,10,500,10,0.0,1.0,5,0.05,30,200
15,21.162311834326264,125.03505525421254,3,150,10,500,10,0.0,1.0,5,0.05,30,200
16,20.96512868291993,124.51417426393292,3,150,10,500,10,0.0,1.0,5,0.05,30,200
17,22.309602783987877,125.19977259225435,3,150,10,500,10,0.0,1.0,5,0.05,30,200
18,22.481298276140123,124.1735197203924,3,150,10,500,10,0.0,1.0,5,0.05,30,200
19,23.783609989145187,122.45308066802994,3,150,10,500,10,0.0,1.0,5,0.05,30,200
