iter,loss_mean,MSE_val,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_val,data_n_features,data_noise_scale,data_noise_weight,model_max_depth,algo_lmbd,algo_S,algo_R
0,7.071679483736952,140.11148976210072,3,150,10,500,10,0.0,0.1,5,0.05,30,200
1,8.512894780589791,138.40708286525256,3,150,10,500,10,0.0,0.1,5,0.05,30,200
2,9.998286605005562,134.14309078500585,3,150,10,500,10,0.0,0.1,5,0.05,30,200
3,10.769577547245094,134.18623799027102,3,150,10,500,10,0.0,0.1,5,0.05,30,200
4,11.643949630872967,131.28385526631047,3,150,10,500,10,0.0,0.1,5,0.05,30,200
5,13.898706670496237,129.8404233921919,3,150,10,500,10,0.0,0.1,5,0.05,30,200
6,13.98640064539654,128.89920730620722,3,150,10,500,10,0.0,0.1,5,0.05,30,200
7,15.627670803470494,124.51971953233723,3,150,10,500,10,0.0,0.1,5,0.05,30,200
8,16.116271744544974,122.47408224005177,3,150,10,500,10,0.0,0.1,5,0.05,30,200
9,16.682940047647197,119.23738769892853,3,150,10,500,10,0.0,0.1,5,0.05,30,200
10,17.754820816841132,119.28030587083813,3,150,10,500,10,0.0,0.1,5,0.05,30,200
11,17.954655273040796,119.7612160739539,3,150,10,500,10,0.0,0.1,5,0.05,30,200
12,18.66641166637546,118.73457481409544,3,150,10,500,10,0.0,0.1,5,0.05,30,200
13,19.83025189053367,115.52782628509566,3,150,10,500,10,0.0,0.1,5,0.05,30,200
14,19.834599041447696,116.07310157478149,3,150,10,500,10,0.0,0.1,5,0.05,30,200
15,21.8615577759608,116.78249126135684,3,150,10,500,10,0.0,0.1,5,0.05,30,200
16,21.656569110048324,115.41475589632282,3,150,10,500,10,0.0,0.1,5,0.05,30,200
17,22.88083455995972,112.75608266273308,3,150,10,500,10,0.0,0.1,5,0.05,30,200
18,22.395600776685516,114.10014625456728,3,150,10,500,10,0.0,0.1,5,0.05,30,200
19,23.351215432009536,115.32460095455254,3,150,10,500,10,0.0,0.1,5,0.05,30,200
20,24.556510028233177,112.42899489575682,3,150,10,500,10,0.0,0.1,5,0.05,30,200
21,23.996651013306646,113.15258049978698,3,150,10,500,10,0.0,0.1,5,0.05,30,200
22,24.99041078270653,109.48475228995956,3,150,10,500,10,0.0,0.1,5,0.05,30,200
23,24.85239648571901,111.43689818089383,3,150,10,500,10,0.0,0.1,5,0.05,30,200
24,26.6468761296768,110.06212072792455,3,150,10,500,10,0.0,0.1,5,0.05,30,200
25,26.255553157453985,109.7432245029205,3,150,10,500,10,0.0,0.1,5,0.05,30,200
26,27.11460400294243,110.17378437831918,3,150,10,500,10,0.0,0.1,5,0.05,30,200
27,27.4028129139981,108.24349584593773,3,150,10,500,10,0.0,0.1,5,0.05,30,200
28,27.44229739463709,107.61500128445464,3,150,10,500,10,0.0,0.1,5,0.05,30,200
29,29.21909149150394,106.02755440363241,3,150,10,500,10,0.0,0.1,5,0.05,30,200
30,28.832894170782843,108.62095522322637,3,150,10,500,10,0.0,0.1,5,0.05,30,200
31,29.613101010796115,106.83107573994499,3,150,10,500,10,0.0,0.1,5,0.05,30,200
32,29.593026730540043,107.17731038070812,3,150,10,500,10,0.0,0.1,5,0.05,30,200
33,29.526924906540142,107.9791602143839,3,150,10,500,10,0.0,0.1,5,0.05,30,200
34,30.12870527294609,106.98912539937314,3,150,10,500,10,0.0,0.1,5,0.05,30,200
35,31.11584708187205,107.41466487569639,3,150,10,500,10,0.0,0.1,5,0.05,30,200
36,30.90481886729119,106.36938635062468,3,150,10,500,10,0.0,0.1,5,0.05,30,200
37,31.732019675822144,107.89449303356827,3,150,10,500,10,0.0,0.1,5,0.05,30,200
38,31.274584842181394,105.09880729655826,3,150,10,500,10,0.0,0.1,5,0.05,30,200
39,32.09204412876795,105.39168840999454,3,150,10,500,10,0.0,0.1,5,0.05,30,200
40,32.16290913517126,105.37694963394432,3,150,10,500,10,0.0,0.1,5,0.05,30,200
41,32.40671155264577,107.04463112633897,3,150,10,500,10,0.0,0.1,5,0.05,30,200
42,33.4174499682176,105.77827599231283,3,150,10,500,10,0.0,0.1,5,0.05,30,200
43,33.610773984262984,104.84806989365478,3,150,10,500,10,0.0,0.1,5,0.05,30,200
44,33.96740464509027,104.13163742104871,3,150,10,500,10,0.0,0.1,5,0.05,30,200
45,34.26318264248136,103.87329728167126,3,150,10,500,10,0.0,0.1,5,0.05,30,200
46,35.02623419829432,106.62101736474038,3,150,10,500,10,0.0,0.1,5,0.05,30,200
47,34.75017375912278,104.04456899285904,3,150,10,500,10,0.0,0.1,5,0.05,30,200
48,33.89232854430803,103.8849305855127,3,150,10,500,10,0.0,0.1,5,0.05,30,200
49,36.23443645399121,106.96976466361589,3,150,10,500,10,0.0,0.1,5,0.05,30,200
50,34.80423815438886,104.18240560820404,3,150,10,500,10,0.0,0.1,5,0.05,30,200
51,35.62272129372581,102.52481551676766,3,150,10,500,10,0.0,0.1,5,0.05,30,200
52,35.23050039261729,103.36387626257121,3,150,10,500,10,0.0,0.1,5,0.05,30,200
53,36.9868590754431,101.13759197156521,3,150,10,500,10,0.0,0.1,5,0.05,30,200
54,36.802648525509966,102.32697108434215,3,150,10,500,10,0.0,0.1,5,0.05,30,200
55,37.58567243161094,101.72367195245279,3,150,10,500,10,0.0,0.1,5,0.05,30,200
56,37.5988460050564,102.96977182241618,3,150,10,500,10,0.0,0.1,5,0.05,30,200
57,37.645960050656214,102.6950313446905,3,150,10,500,10,0.0,0.1,5,0.05,30,200
58,38.66377072433541,102.243777036148,3,150,10,500,10,0.0,0.1,5,0.05,30,200
59,38.12626907803108,101.91810979133177,3,150,10,500,10,0.0,0.1,5,0.05,30,200
60,38.18798986958376,102.51555056997515,3,150,10,500,10,0.0,0.1,5,0.05,30,200
61,37.892809008713954,102.48192437872275,3,150,10,500,10,0.0,0.1,5,0.05,30,200
62,39.11734521452284,104.2471824095956,3,150,10,500,10,0.0,0.1,5,0.05,30,200
63,38.83897754055722,103.1073378605935,3,150,10,500,10,0.0,0.1,5,0.05,30,200
64,39.07893339313744,102.00181564310132,3,150,10,500,10,0.0,0.1,5,0.05,30,200
65,39.48550167654974,99.83451535590332,3,150,10,500,10,0.0,0.1,5,0.05,30,200
66,39.79074757996261,101.81166156887014,3,150,10,500,10,0.0,0.1,5,0.05,30,200
67,39.72482170161807,101.04150736358947,3,150,10,500,10,0.0,0.1,5,0.05,30,200
68,41.24767634838866,102.01359839826154,3,150,10,500,10,0.0,0.1,5,0.05,30,200
69,39.57370093186982,102.66416091435948,3,150,10,500,10,0.0,0.1,5,0.05,30,200
70,40.66860668004402,102.90617842662134,3,150,10,500,10,0.0,0.1,5,0.05,30,200
71,40.28548782568611,104.36520362599191,3,150,10,500,10,0.0,0.1,5,0.05,30,200
72,39.90375009407268,103.51686185730729,3,150,10,500,10,0.0,0.1,5,0.05,30,200
73,40.92281177952875,104.24013036818872,3,150,10,500,10,0.0,0.1,5,0.05,30,200
74,41.731965561178285,105.23841457397714,3,150,10,500,10,0.0,0.1,5,0.05,30,200
75,41.791996363538836,106.75513147570383,3,150,10,500,10,0.0,0.1,5,0.05,30,200
76,40.996839184536256,104.75433030194556,3,150,10,500,10,0.0,0.1,5,0.05,30,200
77,41.718322370805616,102.24138872008437,3,150,10,500,10,0.0,0.1,5,0.05,30,200
78,42.13499063200705,102.34039945301521,3,150,10,500,10,0.0,0.1,5,0.05,30,200
79,41.062826805467196,103.73907441114868,3,150,10,500,10,0.0,0.1,5,0.05,30,200
80,41.33625819225551,103.67380930896189,3,150,10,500,10,0.0,0.1,5,0.05,30,200
81,42.620475939098576,103.92494090106854,3,150,10,500,10,0.0,0.1,5,0.05,30,200
82,41.74062846643177,101.91474531439277,3,150,10,500,10,0.0,0.1,5,0.05,30,200
83,42.3323898631006,101.40048725283415,3,150,10,500,10,0.0,0.1,5,0.05,30,200
84,42.705237984291344,101.72658535430197,3,150,10,500,10,0.0,0.1,5,0.05,30,200
85,43.93635604672406,102.64325648843965,3,150,10,500,10,0.0,0.1,5,0.05,30,200
86,43.84954602629057,103.48238826249258,3,150,10,500,10,0.0,0.1,5,0.05,30,200
87,43.83766910913852,101.64389352477747,3,150,10,500,10,0.0,0.1,5,0.05,30,200
88,44.093097472650676,103.28247838614854,3,150,10,500,10,0.0,0.1,5,0.05,30,200
89,43.63100692043738,102.70906705176522,3,150,10,500,10,0.0,0.1,5,0.05,30,200
90,43.956377342304194,102.38225445876749,3,150,10,500,10,0.0,0.1,5,0.05,30,200
91,43.794013084947395,103.335293354936,3,150,10,500,10,0.0,0.1,5,0.05,30,200
92,44.30408633192414,101.81773997979442,3,150,10,500,10,0.0,0.1,5,0.05,30,200
93,43.5901835917291,101.52069121080302,3,150,10,500,10,0.0,0.1,5,0.05,30,200
94,42.92122331086857,102.72118407579524,3,150,10,500,10,0.0,0.1,5,0.05,30,200
95,46.28529828814828,102.54042446069752,3,150,10,500,10,0.0,0.1,5,0.05,30,200
96,44.06206033540894,102.1687867479508,3,150,10,500,10,0.0,0.1,5,0.05,30,200
97,43.66815190325975,101.80753086708671,3,150,10,500,10,0.0,0.1,5,0.05,30,200
98,44.93276738363063,102.7868483485785,3,150,10,500,10,0.0,0.1,5,0.05,30,200
99,45.31360364656313,102.93264447518081,3,150,10,500,10,0.0,0.1,5,0.05,30,200
100,44.23306615747265,101.85062331321683,3,150,10,500,10,0.0,0.1,5,0.05,30,200
101,44.3623287979416,101.03415911452434,3,150,10,500,10,0.0,0.1,5,0.05,30,200
102,44.87345277320301,102.16229198760325,3,150,10,500,10,0.0,0.1,5,0.05,30,200
103,44.837061269738065,102.21176069825792,3,150,10,500,10,0.0,0.1,5,0.05,30,200
104,45.0331971696747,102.54622353052861,3,150,10,500,10,0.0,0.1,5,0.05,30,200
105,45.330923219644795,103.41452423449017,3,150,10,500,10,0.0,0.1,5,0.05,30,200
106,45.70150113486464,101.90654995719032,3,150,10,500,10,0.0,0.1,5,0.05,30,200
107,44.66614502474528,102.05471427409931,3,150,10,500,10,0.0,0.1,5,0.05,30,200
108,45.43584280007163,102.26751529852973,3,150,10,500,10,0.0,0.1,5,0.05,30,200
109,43.99466523444884,102.76070981477737,3,150,10,500,10,0.0,0.1,5,0.05,30,200
110,44.637406912184744,101.98225177252063,3,150,10,500,10,0.0,0.1,5,0.05,30,200
111,44.392805281917326,99.5430584039267,3,150,10,500,10,0.0,0.1,5,0.05,30,200
112,45.66856907388739,102.4965280488766,3,150,10,500,10,0.0,0.1,5,0.05,30,200
113,45.00977561952424,101.46353488059106,3,150,10,500,10,0.0,0.1,5,0.05,30,200
114,45.63476104831577,101.00712754445108,3,150,10,500,10,0.0,0.1,5,0.05,30,200
115,45.10670177483673,101.6429039214518,3,150,10,500,10,0.0,0.1,5,0.05,30,200
116,45.64388591959102,101.37106553604072,3,150,10,500,10,0.0,0.1,5,0.05,30,200
117,46.454199308078074,101.79458879449653,3,150,10,500,10,0.0,0.1,5,0.05,30,200
118,45.22415993946199,101.94059565850979,3,150,10,500,10,0.0,0.1,5,0.05,30,200
119,45.26237368084653,103.0827969408222,3,150,10,500,10,0.0,0.1,5,0.05,30,200
120,45.29632773851193,104.13888076619187,3,150,10,500,10,0.0,0.1,5,0.05,30,200
121,46.31221282397563,102.56668378446992,3,150,10,500,10,0.0,0.1,5,0.05,30,200
122,45.330334790747,103.21513355740296,3,150,10,500,10,0.0,0.1,5,0.05,30,200
123,45.09280348831774,101.97012931241966,3,150,10,500,10,0.0,0.1,5,0.05,30,200
124,44.51927135899899,103.23246183954494,3,150,10,500,10,0.0,0.1,5,0.05,30,200
125,45.92288235757221,104.88308289790882,3,150,10,500,10,0.0,0.1,5,0.05,30,200
