iter,loss_mean,MSE_val,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_val,data_n_features,data_noise_scale,data_noise_weight,model_max_depth,algo_lmbd,algo_S,algo_R
0,7.788353491374306,157.9356180403283,3,150,10,500,10,0.0,1.0,5,0.05,30,200
1,8.829484381012746,153.72318865537005,3,150,10,500,10,0.0,1.0,5,0.05,30,200
2,11.082691839241607,150.09826832662938,3,150,10,500,10,0.0,1.0,5,0.05,30,200
3,11.471983748154992,148.60576080956815,3,150,10,500,10,0.0,1.0,5,0.05,30,200
4,12.129462146272266,145.07999130375327,3,150,10,500,10,0.0,1.0,5,0.05,30,200
5,13.13135372678953,142.33180247808767,3,150,10,500,10,0.0,1.0,5,0.05,30,200
6,14.348335027807746,138.6006788014533,3,150,10,500,10,0.0,1.0,5,0.05,30,200
7,15.120589538209734,138.44793575060385,3,150,10,500,10,0.0,1.0,5,0.05,30,200
8,16.484287615311477,138.07172322337803,3,150,10,500,10,0.0,1.0,5,0.05,30,200
9,17.42698226221831,138.94336583028561,3,150,10,500,10,0.0,1.0,5,0.05,30,200
10,17.913388916959786,135.2709568716746,3,150,10,500,10,0.0,1.0,5,0.05,30,200
11,18.613790514438328,138.0206483585493,3,150,10,500,10,0.0,1.0,5,0.05,30,200
12,19.149297996563284,133.44560824517788,3,150,10,500,10,0.0,1.0,5,0.05,30,200
13,20.575091005649213,133.62141502053058,3,150,10,500,10,0.0,1.0,5,0.05,30,200
14,20.15034509398984,130.68613814922594,3,150,10,500,10,0.0,1.0,5,0.05,30,200
15,21.56094416266915,130.74029009194265,3,150,10,500,10,0.0,1.0,5,0.05,30,200
16,23.20506975115618,129.14765460698428,3,150,10,500,10,0.0,1.0,5,0.05,30,200
17,23.59122963530392,128.43067369202691,3,150,10,500,10,0.0,1.0,5,0.05,30,200
18,23.858506984772568,126.47757825236559,3,150,10,500,10,0.0,1.0,5,0.05,30,200
19,23.206350334825558,127.24903367063843,3,150,10,500,10,0.0,1.0,5,0.05,30,200
20,25.14164579602123,126.2129621124392,3,150,10,500,10,0.0,1.0,5,0.05,30,200
21,25.055533912792534,124.55849236614922,3,150,10,500,10,0.0,1.0,5,0.05,30,200
22,26.45395390313296,125.94332677870497,3,150,10,500,10,0.0,1.0,5,0.05,30,200
23,26.456962640729653,124.66241094219241,3,150,10,500,10,0.0,1.0,5,0.05,30,200
24,26.83221299126241,124.3563503194612,3,150,10,500,10,0.0,1.0,5,0.05,30,200
25,26.846879695547553,123.29828643332112,3,150,10,500,10,0.0,1.0,5,0.05,30,200
26,27.628057106176822,123.899545567647,3,150,10,500,10,0.0,1.0,5,0.05,30,200
27,27.939210255416736,122.85873213630859,3,150,10,500,10,0.0,1.0,5,0.05,30,200
28,29.01519495856761,122.68996363226259,3,150,10,500,10,0.0,1.0,5,0.05,30,200
29,28.685566823645374,120.4995221228323,3,150,10,500,10,0.0,1.0,5,0.05,30,200
30,29.258101187425435,119.50871262606452,3,150,10,500,10,0.0,1.0,5,0.05,30,200
31,29.46110879306964,120.20563252628848,3,150,10,500,10,0.0,1.0,5,0.05,30,200
32,29.54291339485181,121.4188387251623,3,150,10,500,10,0.0,1.0,5,0.05,30,200
33,31.228254523883965,121.76264577438918,3,150,10,500,10,0.0,1.0,5,0.05,30,200
34,30.25226259700578,118.46807797720392,3,150,10,500,10,0.0,1.0,5,0.05,30,200
35,31.203553145418034,120.13420409297527,3,150,10,500,10,0.0,1.0,5,0.05,30,200
36,32.128462668910394,119.1918159554446,3,150,10,500,10,0.0,1.0,5,0.05,30,200
37,31.973946087203547,119.26869067537456,3,150,10,500,10,0.0,1.0,5,0.05,30,200
38,32.08980535381243,118.20302943370284,3,150,10,500,10,0.0,1.0,5,0.05,30,200
39,32.96981056478512,120.64378102845484,3,150,10,500,10,0.0,1.0,5,0.05,30,200
40,32.94025703698048,119.69849850915091,3,150,10,500,10,0.0,1.0,5,0.05,30,200
41,33.735986680658705,120.24147362828464,3,150,10,500,10,0.0,1.0,5,0.05,30,200
42,33.440756812128335,120.33239348270824,3,150,10,500,10,0.0,1.0,5,0.05,30,200
43,35.59287602335907,119.86588370480665,3,150,10,500,10,0.0,1.0,5,0.05,30,200
44,34.7778253418422,119.14399003624683,3,150,10,500,10,0.0,1.0,5,0.05,30,200
45,34.6689470851566,119.25338396193014,3,150,10,500,10,0.0,1.0,5,0.05,30,200
46,34.93682013134282,119.82535986880997,3,150,10,500,10,0.0,1.0,5,0.05,30,200
47,35.533978476838044,119.42310993054055,3,150,10,500,10,0.0,1.0,5,0.05,30,200
48,36.16881437221844,121.57232577791508,3,150,10,500,10,0.0,1.0,5,0.05,30,200
49,35.99710903588965,119.41242613083999,3,150,10,500,10,0.0,1.0,5,0.05,30,200
50,37.04989481605062,120.84000668185472,3,150,10,500,10,0.0,1.0,5,0.05,30,200
51,37.776905583438214,118.70270981745799,3,150,10,500,10,0.0,1.0,5,0.05,30,200
52,37.09129582316911,119.64109194703853,3,150,10,500,10,0.0,1.0,5,0.05,30,200
53,37.21947575873073,118.49165903286409,3,150,10,500,10,0.0,1.0,5,0.05,30,200
54,37.06023710884945,115.26919239027092,3,150,10,500,10,0.0,1.0,5,0.05,30,200
55,37.435929065475406,117.28921391364747,3,150,10,500,10,0.0,1.0,5,0.05,30,200
56,38.12229482406184,116.31144189227513,3,150,10,500,10,0.0,1.0,5,0.05,30,200
57,38.41723412283603,117.2206936719271,3,150,10,500,10,0.0,1.0,5,0.05,30,200
58,39.52568160764958,116.98915443115135,3,150,10,500,10,0.0,1.0,5,0.05,30,200
59,39.117464913192,115.12993985738375,3,150,10,500,10,0.0,1.0,5,0.05,30,200
60,39.839866999521,115.78069102013319,3,150,10,500,10,0.0,1.0,5,0.05,30,200
61,40.7597027293486,114.77964329797416,3,150,10,500,10,0.0,1.0,5,0.05,30,200
62,39.63827165447511,116.13913090859045,3,150,10,500,10,0.0,1.0,5,0.05,30,200
63,39.522622378167,115.61845215541994,3,150,10,500,10,0.0,1.0,5,0.05,30,200
64,39.82801140246299,116.01932034813348,3,150,10,500,10,0.0,1.0,5,0.05,30,200
65,40.84928721636294,116.48112029288156,3,150,10,500,10,0.0,1.0,5,0.05,30,200
66,41.27168041762292,117.8266107268873,3,150,10,500,10,0.0,1.0,5,0.05,30,200
67,41.605814537241095,115.21443675064013,3,150,10,500,10,0.0,1.0,5,0.05,30,200
68,41.76607964713418,115.94293092375514,3,150,10,500,10,0.0,1.0,5,0.05,30,200
69,42.31509630106394,114.33376173130225,3,150,10,500,10,0.0,1.0,5,0.05,30,200
70,42.9231928173209,113.20840305185355,3,150,10,500,10,0.0,1.0,5,0.05,30,200
71,43.09079584129734,114.83737484081456,3,150,10,500,10,0.0,1.0,5,0.05,30,200
72,43.344117725864834,114.78098587935742,3,150,10,500,10,0.0,1.0,5,0.05,30,200
73,42.916648339260625,113.22218870663336,3,150,10,500,10,0.0,1.0,5,0.05,30,200
74,43.8240262764888,113.95418899410453,3,150,10,500,10,0.0,1.0,5,0.05,30,200
75,44.78030033377433,114.39333846888212,3,150,10,500,10,0.0,1.0,5,0.05,30,200
76,43.61440221757067,114.42479144668425,3,150,10,500,10,0.0,1.0,5,0.05,30,200
77,44.60517317418798,113.86748012472567,3,150,10,500,10,0.0,1.0,5,0.05,30,200
78,44.40126924357636,116.03726938584921,3,150,10,500,10,0.0,1.0,5,0.05,30,200
79,44.30587256033086,114.89991863067227,3,150,10,500,10,0.0,1.0,5,0.05,30,200
80,43.93215303852664,115.06298395589936,3,150,10,500,10,0.0,1.0,5,0.05,30,200
81,43.72265479713363,113.80568488990939,3,150,10,500,10,0.0,1.0,5,0.05,30,200
82,45.09143386042129,115.21166397023293,3,150,10,500,10,0.0,1.0,5,0.05,30,200
83,44.46748464183969,114.08169814636742,3,150,10,500,10,0.0,1.0,5,0.05,30,200
84,45.26495723349206,115.01382121783267,3,150,10,500,10,0.0,1.0,5,0.05,30,200
85,44.82894429016547,114.20242110600424,3,150,10,500,10,0.0,1.0,5,0.05,30,200
86,44.47508909280216,113.65194122868401,3,150,10,500,10,0.0,1.0,5,0.05,30,200
87,45.61693102984296,113.08422685012697,3,150,10,500,10,0.0,1.0,5,0.05,30,200
88,46.961637547202166,112.43444306240902,3,150,10,500,10,0.0,1.0,5,0.05,30,200
89,45.28730486196327,114.24135112036905,3,150,10,500,10,0.0,1.0,5,0.05,30,200
90,46.96367649693299,114.14594484600433,3,150,10,500,10,0.0,1.0,5,0.05,30,200
