iter,loss_mean,MSE_params,MSE_test,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_test,data_n_features,data_noise_scale,data_noise_weight,model_n_features,model_bias,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local
0,94.16226052602133,8.820358276367188,112.74454498291016,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
1,77.55597764968871,7.715756893157959,101.6930923461914,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
2,64.61594627380371,6.875176906585693,93.34617614746094,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
3,54.76616991678873,6.147289752960205,86.03319549560547,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
4,46.77448158582052,5.549734592437744,80.0560073852539,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
5,40.52362961769104,5.062187671661377,75.23335266113281,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
6,35.659182182947795,4.6431565284729,71.0850830078125,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
7,31.81189242998759,4.306779861450195,67.74657440185547,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
8,28.530323905944826,3.991112232208252,64.61119079589844,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
9,25.878113479614257,3.7007334232330322,61.7074089050293,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
10,23.554709968566893,3.4608895778656006,59.33367156982422,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
11,21.642882283528646,3.241239547729492,57.15692138671875,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
12,20.007810808817545,3.0505661964416504,55.28645324707031,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
13,18.671356439590454,2.886974334716797,53.68046569824219,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
14,17.66330675760905,2.7623136043548584,52.48321533203125,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
15,16.653085072835285,2.627532720565796,51.180294036865234,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
16,15.905233755111695,2.5371155738830566,50.309261322021484,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
17,15.156938242912293,2.4764788150787354,49.74056625366211,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
18,14.628112305005391,2.446837902069092,49.43825149536133,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
19,14.15054676691691,2.371739149093628,48.711299896240234,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
20,13.596268243789673,2.339803457260132,48.46976852416992,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
21,13.138164401054382,2.279860258102417,47.88236999511719,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
22,12.729337765375773,2.2505483627319336,47.58972930908203,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
23,12.353007187048593,2.2085986137390137,47.22012710571289,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
24,12.03962347428004,2.184218406677246,46.98051071166992,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
25,11.710343223412831,2.1813576221466064,46.96686553955078,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
26,11.469083012739818,2.1329729557037354,46.480037689208984,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
27,11.290628470579783,2.088629722595215,46.038787841796875,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
28,11.127294985453288,2.0489377975463867,45.641239166259766,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
29,10.936587583223979,2.0607073307037354,45.79356384277344,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
