iter,loss_mean,MSE_params,MSE_test,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_test,data_n_features,data_noise_scale,data_noise_weight,model_n_features,model_bias,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local
0,63.744120031992594,8.363003730773926,84.3887939453125,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
1,45.22038732210795,7.397867202758789,74.7373046875,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
2,32.73504382769267,6.623414516448975,66.98204040527344,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
3,24.23209587732951,6.055058479309082,61.33092498779297,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
4,18.37007539431254,5.574854850769043,56.5910758972168,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
5,14.104077161153157,5.126553058624268,52.07608413696289,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
6,11.132907971143723,4.773385524749756,48.55773162841797,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
7,8.89172352939844,4.407281398773193,44.88469696044922,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
8,7.208499848544598,4.140028476715088,42.192623138427734,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
9,5.8853111389279364,3.8849308490753174,39.62510681152344,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
10,4.8479497727751735,3.6612467765808105,37.428466796875,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
11,4.002549379467964,3.458681344985962,35.38221740722656,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
12,3.3434812727570535,3.256190299987793,33.35597229003906,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
13,2.8655066422869764,3.08712100982666,31.660472869873047,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
14,2.456153318732977,2.9537065029144287,30.325674057006836,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
15,2.1815335447341204,2.8128538131713867,28.9112606048584,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
16,1.8868522860171895,2.6917994022369385,27.702524185180664,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
17,1.6702795400470496,2.5623137950897217,26.404735565185547,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
18,1.4750880489995082,2.4814248085021973,25.5921688079834,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
19,1.3087741031249365,2.3793749809265137,24.571292877197266,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
20,1.149050480608518,2.3129820823669434,23.911081314086914,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
21,1.066348680096368,2.232923746109009,23.107410430908203,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
22,0.9791057424495617,2.1789770126342773,22.556365966796875,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
23,0.8847941479335228,2.10684871673584,21.83936882019043,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
24,0.7914378117832045,2.054718017578125,21.32008171081543,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
25,0.732125054821372,1.9917852878570557,20.668100357055664,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
26,0.6860766420637567,1.9431374073028564,20.18634033203125,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
27,0.640662656178077,1.8632400035858154,19.36021614074707,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
28,0.5934390009505054,1.8020373582839966,18.779205322265625,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
29,0.5741407490335405,1.7442773580551147,18.20037078857422,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
30,0.5399448790152868,1.6868177652359009,17.639909744262695,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
31,0.5175789073978861,1.6344778537750244,17.12501335144043,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
32,0.4828207688778639,1.603053331375122,16.805166244506836,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
33,0.46487165842826167,1.5483227968215942,16.254384994506836,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
34,0.4469595922281345,1.509299874305725,15.863280296325684,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
35,0.43058719512075183,1.4785211086273193,15.56483268737793,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
36,0.41961044528832037,1.4264137744903564,15.055200576782227,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
37,0.40260781817138197,1.4053400754928589,14.836738586425781,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
38,0.3772334333260854,1.3854014873504639,14.647059440612793,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
39,0.3415756649399797,1.3525950908660889,14.31623363494873,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
40,0.3309956638390819,1.3227872848510742,14.00843620300293,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
