iter,loss_mean,MSE_val,MSE_params,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_val,data_n_features,data_noise_scale,data_noise_weight,model_n_features,model_bias,algo_lrate,algo_S,algo_R
0,91.35123,95.7144546508789,9.619000434875488,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
1,85.20842,90.54322814941406,9.1022367477417,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
2,79.568565,85.6739273071289,8.615094184875488,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
3,74.30113,81.13702392578125,8.164389610290527,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
4,69.41163,76.86974334716797,7.740087985992432,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
5,64.82694,72.75422668457031,7.328608512878418,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
6,60.57235,68.83644104003906,6.938426494598389,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
7,56.6704,65.25688171386719,6.580443382263184,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
8,52.98336,61.92449188232422,6.246251583099365,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
9,49.49824,58.63756561279297,5.915958404541016,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
10,46.240337,55.60857009887695,5.611103057861328,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
11,43.208397,52.685508728027344,5.3181352615356445,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
12,40.489407,49.950077056884766,5.043333530426025,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
13,37.881477,47.27873992919922,4.775645732879639,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
14,35.4644,44.88995361328125,4.536414623260498,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
15,33.240738,42.55228042602539,4.301709175109863,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
16,31.154688,40.408843994140625,4.085853099822998,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
17,29.200342,38.425655364990234,3.8866662979125977,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
18,27.363731,36.48617935180664,3.691392183303833,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
19,25.688513,34.664615631103516,3.5073909759521484,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
20,24.119219,33.08387756347656,3.3482658863067627,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
21,22.618708,31.531940460205078,3.190992593765259,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
22,21.205587,29.962047576904297,3.0327298641204834,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
23,19.913168,28.543731689453125,2.8899502754211426,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
24,18.717056,27.149599075317383,2.7498879432678223,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
25,17.570452,25.82347869873047,2.6163506507873535,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
26,16.502045,24.558048248291016,2.488309144973755,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
27,15.513301,23.436138153076172,2.3747646808624268,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
28,14.590654,22.35964584350586,2.2653119564056396,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
29,13.724812,21.314491271972656,2.159672975540161,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
30,12.898558,20.27409553527832,2.0536093711853027,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
31,12.138645,19.29833221435547,1.954553246498108,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
32,11.410485,18.396825790405273,1.8628695011138916,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
33,10.7448225,17.58247947692871,1.7807458639144897,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
34,10.131578,16.75089454650879,1.6962443590164185,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
35,9.538316,15.942845344543457,1.6137806177139282,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
36,8.989444,15.218719482421875,1.539566993713379,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
37,8.474396,14.577414512634277,1.4735691547393799,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
38,7.9949074,13.90502643585205,1.4047601222991943,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
39,7.5366707,13.2745361328125,1.3396357297897339,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
40,7.110173,12.679658889770508,1.2782888412475586,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
41,6.7143397,12.10682201385498,1.2196763753890991,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
42,6.3409,11.600790023803711,1.167059302330017,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
43,5.9936066,11.097604751586914,1.114435076713562,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
44,5.654685,10.587892532348633,1.061486840248108,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
45,5.34372,10.147086143493652,1.0159640312194824,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
46,5.055241,9.708381652832031,0.9707528948783875,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
47,4.7904353,9.290307998657227,0.9272825121879578,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
48,4.5357533,8.921100616455078,0.8890177607536316,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
49,4.2889686,8.5441312789917,0.8493485450744629,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
50,4.059818,8.209066390991211,0.8149166107177734,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
51,3.845472,7.864063739776611,0.7787683010101318,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
52,3.645699,7.562732219696045,0.7470444440841675,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
53,3.4566708,7.265711307525635,0.7159236073493958,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
54,3.2812932,6.96933126449585,0.6846520304679871,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
55,3.115541,6.674509048461914,0.6537510752677917,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
56,2.9601855,6.447299003601074,0.6298161745071411,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
57,2.8127217,6.189107418060303,0.6024120450019836,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
58,2.6748857,5.953218936920166,0.5770037174224854,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
59,2.5439086,5.720916271209717,0.5522991418838501,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
60,2.4194605,5.495388031005859,0.5284736752510071,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
61,2.303658,5.289392471313477,0.5065892934799194,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
62,2.1936226,5.076787948608398,0.48407691717147827,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
63,2.0928333,4.880671501159668,0.4632474482059479,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
64,1.9954765,4.697037696838379,0.44372573494911194,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
65,1.9053463,4.53297758102417,0.42597827315330505,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
66,1.8193209,4.365261554718018,0.407633513212204,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
67,1.7359095,4.22153377532959,0.3923143148422241,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
68,1.6602197,4.083578586578369,0.37742817401885986,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
69,1.5876325,3.9605815410614014,0.36407455801963806,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
70,1.5205976,3.817495584487915,0.3486655354499817,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
71,1.4578952,3.6823365688323975,0.3340514600276947,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
72,1.39842,3.568033218383789,0.32141175866127014,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
73,1.3430711,3.447201728820801,0.30814969539642334,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
74,1.2903183,3.344179391860962,0.2967109680175781,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
75,1.2397614,3.2561838626861572,0.28702956438064575,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
76,1.1926299,3.17431640625,0.277738094329834,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
77,1.1472775,3.071258306503296,0.2664274275302887,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
78,1.1041471,2.9808590412139893,0.25639238953590393,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
79,1.0639707,2.920201539993286,0.24946323037147522,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
80,1.0266119,2.8331573009490967,0.23984195291996002,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
81,0.9908081,2.7646195888519287,0.2320261150598526,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
82,0.9565464,2.6960997581481934,0.22450561821460724,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
83,0.92511415,2.636369466781616,0.21765290200710297,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
84,0.8945753,2.573526382446289,0.21047574281692505,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
85,0.86609113,2.5236549377441406,0.20463751256465912,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
86,0.8390673,2.4716811180114746,0.19869369268417358,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
87,0.8136214,2.4198732376098633,0.1927509307861328,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
88,0.78960174,2.3618524074554443,0.18621253967285156,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
89,0.7664509,2.326662540435791,0.18185681104660034,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
90,0.7451999,2.2684338092803955,0.17531739175319672,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
91,0.72483844,2.222787618637085,0.1701318770647049,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
92,0.70534253,2.1743032932281494,0.16449180245399475,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
93,0.6871059,2.140882968902588,0.16031497716903687,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
94,0.66935784,2.1137659549713135,0.15700069069862366,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
95,0.65228915,2.093790054321289,0.15462489426136017,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
96,0.6361651,2.054201602935791,0.14997105300426483,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
97,0.61991364,2.0494468212127686,0.14889280498027802,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
98,0.6057552,2.010849952697754,0.1444014459848404,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
99,0.5920596,1.9786007404327393,0.1406140774488449,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
100,0.57910174,1.94856858253479,0.13708198070526123,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
101,0.5663737,1.9204293489456177,0.13384810090065002,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
102,0.55517316,1.8906856775283813,0.13039590418338776,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
103,0.5433126,1.8774977922439575,0.12863558530807495,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
104,0.5325805,1.8534996509552002,0.12561054527759552,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
105,0.52207845,1.838932991027832,0.12365608662366867,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
106,0.5119247,1.8212800025939941,0.12147447466850281,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
107,0.502835,1.8106251955032349,0.11995533108711243,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
108,0.49399242,1.7904794216156006,0.11760026216506958,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
109,0.48485243,1.7643522024154663,0.11466445028781891,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
110,0.47698095,1.7462905645370483,0.11239249259233475,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
111,0.47017634,1.7234537601470947,0.10969406366348267,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
112,0.46308365,1.709713339805603,0.10796544700860977,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
113,0.45563364,1.693611741065979,0.10602477937936783,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
114,0.44889826,1.6777598857879639,0.10407552123069763,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
115,0.4423672,1.661632776260376,0.10223415493965149,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
116,0.43614665,1.6535465717315674,0.10125364363193512,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
117,0.43020105,1.652863621711731,0.10068728029727936,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
118,0.42463076,1.6367859840393066,0.09873038530349731,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
119,0.41932824,1.624387264251709,0.09710381925106049,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
120,0.41454256,1.6227777004241943,0.09670895338058472,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
121,0.40915167,1.6166759729385376,0.09577513486146927,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
122,0.40424532,1.6164590120315552,0.09554990381002426,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
123,0.39972395,1.61135995388031,0.09473332017660141,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
124,0.3949007,1.610083818435669,0.09430169314146042,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
125,0.39075655,1.5996416807174683,0.0930003672838211,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
126,0.387052,1.596562147140503,0.09248712658882141,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
127,0.38292083,1.5987234115600586,0.09246788173913956,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
128,0.37879294,1.59775972366333,0.09202302247285843,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
129,0.374874,1.5898759365081787,0.09118381142616272,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
130,0.37120676,1.5796544551849365,0.09007447957992554,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
131,0.3673856,1.5874788761138916,0.09053631126880646,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
132,0.36363488,1.5851300954818726,0.08983723819255829,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
133,0.3595273,1.5903089046478271,0.09035624563694,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
134,0.356242,1.5788816213607788,0.08902941644191742,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
135,0.35328072,1.570446252822876,0.08787977695465088,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
136,0.35034516,1.5819202661514282,0.08876561373472214,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
137,0.34752357,1.5740140676498413,0.08774325251579285,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
138,0.3449144,1.5630756616592407,0.0863204374909401,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
139,0.34289443,1.5464469194412231,0.08441375941038132,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
140,0.34104344,1.540915608406067,0.08377258479595184,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
141,0.33857375,1.5455607175827026,0.0842059999704361,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
142,0.33651814,1.5423160791397095,0.08394457399845123,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
143,0.33457747,1.5477979183197021,0.08440697938203812,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
144,0.33244628,1.5518361330032349,0.08474592119455338,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
145,0.330533,1.5521000623703003,0.08451222628355026,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
146,0.328597,1.5460774898529053,0.08368391543626785,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
147,0.32657978,1.54025399684906,0.08295392990112305,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
148,0.3245767,1.530969500541687,0.0817316472530365,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
149,0.32269964,1.5257889032363892,0.08103766292333603,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
150,0.3210093,1.5279496908187866,0.08115621656179428,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
151,0.31935304,1.52054762840271,0.08013014495372772,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
152,0.3177037,1.5294190645217896,0.08100439608097076,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
153,0.316219,1.5222972631454468,0.08004414290189743,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
154,0.31461287,1.5210084915161133,0.0798245370388031,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
155,0.31300777,1.51693856716156,0.07922519743442535,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
156,0.31119826,1.5249509811401367,0.0800216794013977,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
157,0.30973464,1.5221240520477295,0.07962223142385483,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
158,0.30804238,1.5277897119522095,0.08007264882326126,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
159,0.30677232,1.5232778787612915,0.07974603027105331,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
160,0.30550298,1.5145031213760376,0.07873360812664032,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
161,0.3041887,1.5052599906921387,0.07781460136175156,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
162,0.30316412,1.5043199062347412,0.07779523730278015,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
163,0.30204841,1.5152524709701538,0.07885187119245529,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
164,0.30066153,1.5195517539978027,0.07925321161746979,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
165,0.2994998,1.5101532936096191,0.07814279943704605,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
166,0.29823303,1.5053291320800781,0.07754147052764893,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
167,0.29734674,1.4948172569274902,0.0762735903263092,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
168,0.29654112,1.5026895999908447,0.07701084017753601,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
169,0.29548097,1.5119080543518066,0.07804844528436661,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
170,0.29435077,1.5101318359375,0.07769694924354553,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
171,0.29362056,1.5030932426452637,0.07694438844919205,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
172,0.29254684,1.4992674589157104,0.0763469934463501,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
173,0.29166952,1.5019677877426147,0.07686059176921844,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
174,0.2910537,1.5031629800796509,0.07680132240056992,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
175,0.29018378,1.506166934967041,0.07706623524427414,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
176,0.28956044,1.5059609413146973,0.0770789384841919,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
177,0.28868192,1.5067698955535889,0.07704266905784607,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
178,0.2878206,1.5027110576629639,0.07651331275701523,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
179,0.2870338,1.5129847526550293,0.07763597369194031,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
180,0.28612408,1.5130324363708496,0.07776807248592377,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
181,0.2852126,1.5088391304016113,0.07719571888446808,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
182,0.2845867,1.511488676071167,0.07740096747875214,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
183,0.28368318,1.515201210975647,0.07775150239467621,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
184,0.28292206,1.5199110507965088,0.07816903293132782,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
185,0.28198963,1.5287446975708008,0.07912369072437286,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
186,0.28098822,1.5382957458496094,0.08025909215211868,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
187,0.280291,1.5378755331039429,0.08010838180780411,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
188,0.27917367,1.5331470966339111,0.07951626181602478,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
189,0.2784133,1.5380957126617432,0.08003745228052139,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
190,0.27746028,1.543269395828247,0.08047816157341003,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
191,0.27702305,1.546174168586731,0.08082056790590286,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
192,0.27616423,1.5410281419754028,0.08025125414133072,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
193,0.27545568,1.538221001625061,0.08011629432439804,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
194,0.27466524,1.5331889390945435,0.07940056174993515,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
195,0.27417916,1.5432047843933105,0.08051057904958725,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
196,0.2736327,1.5400859117507935,0.080246701836586,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
197,0.27339846,1.5298759937286377,0.0789576917886734,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
198,0.2729874,1.535530686378479,0.07935316860675812,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
199,0.27251494,1.5331166982650757,0.07932960242033005,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
200,0.27184844,1.5438898801803589,0.0803428441286087,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
201,0.27125004,1.5436276197433472,0.08015412837266922,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
202,0.27032885,1.5395855903625488,0.07966730743646622,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
203,0.2697196,1.5519227981567383,0.08086457848548889,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
204,0.26897877,1.5512210130691528,0.08074700087308884,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
205,0.26873925,1.5412957668304443,0.07954266667366028,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
206,0.26831535,1.5435171127319336,0.07979739457368851,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
207,0.26761696,1.5491758584976196,0.08044471591711044,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
208,0.26704916,1.5546413660049438,0.08121450990438461,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
209,0.2665887,1.5461573600769043,0.0801740288734436,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
210,0.266216,1.5394169092178345,0.07943663746118546,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
211,0.26594263,1.5362428426742554,0.07905638217926025,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
212,0.26569906,1.5489070415496826,0.08017546683549881,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
213,0.26534668,1.5418096780776978,0.07924634218215942,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
214,0.26489052,1.5428125858306885,0.07922021299600601,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
