iter,loss_mean,MSE_val,MSE_params,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_val,data_n_features,data_noise_scale,model_n_features,model_bias,algo_lrate,algo_S,algo_R
0,91.12492,95.97777557373047,9.644407272338867,3,150,10,500,10,0.0,10,False,0.01,30,1500
1,84.97911,90.70724487304688,9.119575500488281,3,150,10,500,10,0.0,10,False,0.01,30,1500
2,79.05904,85.73661804199219,8.624161720275879,3,150,10,500,10,0.0,10,False,0.01,30,1500
3,73.81672,81.03079986572266,8.156930923461914,3,150,10,500,10,0.0,10,False,0.01,30,1500
4,68.92835,76.56761169433594,7.712071418762207,3,150,10,500,10,0.0,10,False,0.01,30,1500
5,64.249756,72.39281463623047,7.296695232391357,3,150,10,500,10,0.0,10,False,0.01,30,1500
6,59.97331,68.51176452636719,6.909229278564453,3,150,10,500,10,0.0,10,False,0.01,30,1500
7,55.998093,64.8481216430664,6.542183876037598,3,150,10,500,10,0.0,10,False,0.01,30,1500
8,52.34399,61.45970916748047,6.203728199005127,3,150,10,500,10,0.0,10,False,0.01,30,1500
9,48.9994,58.18278121948242,5.876386642456055,3,150,10,500,10,0.0,10,False,0.01,30,1500
10,45.803677,55.17997360229492,5.57586669921875,3,150,10,500,10,0.0,10,False,0.01,30,1500
11,42.863712,52.47301483154297,5.303873538970947,3,150,10,500,10,0.0,10,False,0.01,30,1500
12,40.147827,49.81462097167969,5.036727428436279,3,150,10,500,10,0.0,10,False,0.01,30,1500
13,37.561443,47.285797119140625,4.7829413414001465,3,150,10,500,10,0.0,10,False,0.01,30,1500
14,35.187805,44.91250991821289,4.544388294219971,3,150,10,500,10,0.0,10,False,0.01,30,1500
15,32.984337,42.63367462158203,4.315191745758057,3,150,10,500,10,0.0,10,False,0.01,30,1500
16,30.876549,40.484500885009766,4.099965572357178,3,150,10,500,10,0.0,10,False,0.01,30,1500
17,28.971191,38.47120666503906,3.898374080657959,3,150,10,500,10,0.0,10,False,0.01,30,1500
18,27.2219,36.65754699707031,3.715677499771118,3,150,10,500,10,0.0,10,False,0.01,30,1500
19,25.531858,34.797569274902344,3.528299570083618,3,150,10,500,10,0.0,10,False,0.01,30,1500
20,23.965918,33.16530227661133,3.362678289413452,3,150,10,500,10,0.0,10,False,0.01,30,1500
21,22.449602,31.63583755493164,3.2083120346069336,3,150,10,500,10,0.0,10,False,0.01,30,1500
22,21.061884,30.09071922302246,3.0533485412597656,3,150,10,500,10,0.0,10,False,0.01,30,1500
23,19.771315,28.682178497314453,2.9100234508514404,3,150,10,500,10,0.0,10,False,0.01,30,1500
24,18.553896,27.270097732543945,2.767489194869995,3,150,10,500,10,0.0,10,False,0.01,30,1500
25,17.43804,25.96476936340332,2.6362082958221436,3,150,10,500,10,0.0,10,False,0.01,30,1500
26,16.38701,24.784976959228516,2.51639723777771,3,150,10,500,10,0.0,10,False,0.01,30,1500
27,15.407887,23.61457061767578,2.3973405361175537,3,150,10,500,10,0.0,10,False,0.01,30,1500
28,14.473513,22.525442123413086,2.2864112854003906,3,150,10,500,10,0.0,10,False,0.01,30,1500
29,13.601069,21.441511154174805,2.1764907836914062,3,150,10,500,10,0.0,10,False,0.01,30,1500
30,12.803939,20.42091941833496,2.0729541778564453,3,150,10,500,10,0.0,10,False,0.01,30,1500
31,12.028366,19.42047882080078,1.97064208984375,3,150,10,500,10,0.0,10,False,0.01,30,1500
32,11.313013,18.50558090209961,1.8772052526474,3,150,10,500,10,0.0,10,False,0.01,30,1500
33,10.649566,17.660991668701172,1.7915029525756836,3,150,10,500,10,0.0,10,False,0.01,30,1500
