iter,loss_mean,MSE_val,MSE_params,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_val,data_n_features,data_noise_scale,data_noise_weight,model_n_features,model_bias,algo_lrate,algo_S,algo_R
0,104.77351,106.29254913330078,9.592534065246582,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
1,98.01542,100.82794189453125,9.064518928527832,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
2,91.54041,95.62030792236328,8.572305679321289,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
3,85.69978,90.83943939208984,8.108725547790527,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
4,80.01078,86.1452407836914,7.6581339836120605,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
5,74.86005,81.82909393310547,7.245710849761963,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
6,70.09863,77.7244873046875,6.849009037017822,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
7,65.67279,74.01155853271484,6.492170810699463,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
8,61.46675,70.37763214111328,6.145108699798584,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
9,57.598957,67.0011978149414,5.821288585662842,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
10,54.11832,63.9583625793457,5.530770301818848,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
11,50.834637,60.935508728027344,5.250482082366943,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
12,47.67787,58.20060729980469,4.9849443435668945,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
13,44.86913,55.59186935424805,4.737131118774414,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
14,42.145733,53.06159210205078,4.488339900970459,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
15,39.678158,50.7823371887207,4.267683506011963,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
16,37.343895,48.47142028808594,4.049290180206299,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
17,35.17885,46.49272918701172,3.869314432144165,3,150,10,500,10,0.0,1.0,10,False,0.01,30,1500
