iter,loss_mean,MSE_val,MSE_params,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_val,data_n_features,data_noise_scale,model_n_features,model_bias,algo_lrate,algo_S,algo_R
0,91.27741,95.6357650756836,9.614633560180664,3,150,10,500,10,0.0,10,False,0.01,30,1500
1,85.21882,90.29083251953125,9.080160140991211,3,150,10,500,10,0.0,10,False,0.01,30,1500
2,79.55117,85.48112487792969,8.601251602172852,3,150,10,500,10,0.0,10,False,0.01,30,1500
3,74.20897,80.9073257446289,8.144649505615234,3,150,10,500,10,0.0,10,False,0.01,30,1500
4,69.32927,76.53661346435547,7.708014488220215,3,150,10,500,10,0.0,10,False,0.01,30,1500
5,64.80236,72.5062484741211,7.3045430183410645,3,150,10,500,10,0.0,10,False,0.01,30,1500
6,60.492554,68.4581069946289,6.902010917663574,3,150,10,500,10,0.0,10,False,0.01,30,1500
7,56.468685,64.82620239257812,6.539193153381348,3,150,10,500,10,0.0,10,False,0.01,30,1500
8,52.813538,61.5199089050293,6.2096943855285645,3,150,10,500,10,0.0,10,False,0.01,30,1500
9,49.424618,58.317325592041016,5.889195919036865,3,150,10,500,10,0.0,10,False,0.01,30,1500
10,46.241074,55.26890182495117,5.585879325866699,3,150,10,500,10,0.0,10,False,0.01,30,1500
11,43.242256,52.3918342590332,5.296687126159668,3,150,10,500,10,0.0,10,False,0.01,30,1500
12,40.480644,49.72108459472656,5.028459548950195,3,150,10,500,10,0.0,10,False,0.01,30,1500
13,37.86775,47.22214126586914,4.778809070587158,3,150,10,500,10,0.0,10,False,0.01,30,1500
14,35.423523,44.89600372314453,4.545182704925537,3,150,10,500,10,0.0,10,False,0.01,30,1500
15,33.181843,42.59538269042969,4.313005447387695,3,150,10,500,10,0.0,10,False,0.01,30,1500
16,31.156301,40.48567581176758,4.101418972015381,3,150,10,500,10,0.0,10,False,0.01,30,1500
17,29.204088,38.552024841308594,3.906940221786499,3,150,10,500,10,0.0,10,False,0.01,30,1500
18,27.352943,36.681800842285156,3.717752456665039,3,150,10,500,10,0.0,10,False,0.01,30,1500
19,25.610645,34.86349868774414,3.5343868732452393,3,150,10,500,10,0.0,10,False,0.01,30,1500
20,24.004356,33.147308349609375,3.361721992492676,3,150,10,500,10,0.0,10,False,0.01,30,1500
21,22.540785,31.53285789489746,3.1986007690429688,3,150,10,500,10,0.0,10,False,0.01,30,1500
22,21.136335,30.015735626220703,3.0451533794403076,3,150,10,500,10,0.0,10,False,0.01,30,1500
23,19.846651,28.538328170776367,2.8966479301452637,3,150,10,500,10,0.0,10,False,0.01,30,1500
24,18.660633,27.14042854309082,2.755065679550171,3,150,10,500,10,0.0,10,False,0.01,30,1500
25,17.53722,25.80031967163086,2.6192474365234375,3,150,10,500,10,0.0,10,False,0.01,30,1500
26,16.461498,24.516376495361328,2.4896697998046875,3,150,10,500,10,0.0,10,False,0.01,30,1500
27,15.466606,23.365922927856445,2.372328281402588,3,150,10,500,10,0.0,10,False,0.01,30,1500
28,14.536048,22.264053344726562,2.2599761486053467,3,150,10,500,10,0.0,10,False,0.01,30,1500
29,13.679855,21.20623016357422,2.1525039672851562,3,150,10,500,10,0.0,10,False,0.01,30,1500
30,12.865559,20.23053741455078,2.0532376766204834,3,150,10,500,10,0.0,10,False,0.01,30,1500
31,12.093169,19.296550750732422,1.9585765600204468,3,150,10,500,10,0.0,10,False,0.01,30,1500
32,11.384303,18.40749168395996,1.8677059412002563,3,150,10,500,10,0.0,10,False,0.01,30,1500
33,10.713637,17.59305763244629,1.7842893600463867,3,150,10,500,10,0.0,10,False,0.01,30,1500
34,10.069491,16.76790428161621,1.6998076438903809,3,150,10,500,10,0.0,10,False,0.01,30,1500
35,9.481464,16.00221061706543,1.6213104724884033,3,150,10,500,10,0.0,10,False,0.01,30,1500
36,8.933208,15.268964767456055,1.5462170839309692,3,150,10,500,10,0.0,10,False,0.01,30,1500
37,8.414281,14.58326244354248,1.4763071537017822,3,150,10,500,10,0.0,10,False,0.01,30,1500
38,7.926723,13.931100845336914,1.4082754850387573,3,150,10,500,10,0.0,10,False,0.01,30,1500
39,7.4747267,13.268847465515137,1.3401870727539062,3,150,10,500,10,0.0,10,False,0.01,30,1500
40,7.047911,12.71800708770752,1.2832105159759521,3,150,10,500,10,0.0,10,False,0.01,30,1500
