iter,loss_mean,MSE_val,MSE_params,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_val,data_n_features,data_noise_scale,model_n_features,model_bias,algo_lrate,algo_S,algo_R
0,85.53046,89.73926544189453,9.189799308776855,2,100,10,500,10,0,10,False,0.03,20,1500
1,71.047066,74.22920989990234,7.773346900939941,2,100,10,500,10,0,10,False,0.03,20,1500
2,59.594692,61.82265090942383,6.590025424957275,2,100,10,500,10,0,10,False,0.03,20,1500
3,50.5372,52.24412536621094,5.645395278930664,2,100,10,500,10,0,10,False,0.03,20,1500
4,43.090454,44.574554443359375,4.841166019439697,2,100,10,500,10,0,10,False,0.03,20,1500
5,37.007156,37.96001052856445,4.14741849899292,2,100,10,500,10,0,10,False,0.03,20,1500
6,32.169586,32.929588317871094,3.5886409282684326,2,100,10,500,10,0,10,False,0.03,20,1500
7,28.352673,28.945735931396484,3.114150285720825,2,100,10,500,10,0,10,False,0.03,20,1500
8,25.151052,25.63918685913086,2.69893741607666,2,100,10,500,10,0,10,False,0.03,20,1500
9,22.73832,23.167301177978516,2.373430013656616,2,100,10,500,10,0,10,False,0.03,20,1500
10,20.783255,21.255355834960938,2.1207005977630615,2,100,10,500,10,0,10,False,0.03,20,1500
11,19.169115,19.522193908691406,1.8755552768707275,2,100,10,500,10,0,10,False,0.03,20,1500
12,17.755045,18.139890670776367,1.6602673530578613,2,100,10,500,10,0,10,False,0.03,20,1500
13,16.648355,17.0613956451416,1.4801784753799438,2,100,10,500,10,0,10,False,0.03,20,1500
14,15.713504,16.441617965698242,1.344018816947937,2,100,10,500,10,0,10,False,0.03,20,1500
15,14.963504,15.848173141479492,1.2205874919891357,2,100,10,500,10,0,10,False,0.03,20,1500
16,14.342871,15.49245548248291,1.1147836446762085,2,100,10,500,10,0,10,False,0.03,20,1500
17,13.809734,15.018694877624512,1.004887342453003,2,100,10,500,10,0,10,False,0.03,20,1500
18,13.377493,14.459722518920898,0.9257633090019226,2,100,10,500,10,0,10,False,0.03,20,1500
19,13.005002,14.109746932983398,0.8529151082038879,2,100,10,500,10,0,10,False,0.03,20,1500
20,12.66788,13.849479675292969,0.7946079969406128,2,100,10,500,10,0,10,False,0.03,20,1500
21,12.39938,13.624406814575195,0.7412699460983276,2,100,10,500,10,0,10,False,0.03,20,1500
22,12.177874,13.390320777893066,0.7073051929473877,2,100,10,500,10,0,10,False,0.03,20,1500
23,11.972672,13.247928619384766,0.6672062277793884,2,100,10,500,10,0,10,False,0.03,20,1500
24,11.798967,13.040998458862305,0.6316102743148804,2,100,10,500,10,0,10,False,0.03,20,1500
25,11.649206,12.825039863586426,0.5952223539352417,2,100,10,500,10,0,10,False,0.03,20,1500
26,11.51871,12.951244354248047,0.582560658454895,2,100,10,500,10,0,10,False,0.03,20,1500
27,11.413891,12.839255332946777,0.5560141801834106,2,100,10,500,10,0,10,False,0.03,20,1500
28,11.316607,12.805939674377441,0.5252256393432617,2,100,10,500,10,0,10,False,0.03,20,1500
29,11.231462,12.805088996887207,0.508287250995636,2,100,10,500,10,0,10,False,0.03,20,1500
30,11.144418,12.745182037353516,0.49137693643569946,2,100,10,500,10,0,10,False,0.03,20,1500
31,11.085432,12.793365478515625,0.48339441418647766,2,100,10,500,10,0,10,False,0.03,20,1500
32,11.0334425,12.80850601196289,0.4646536111831665,2,100,10,500,10,0,10,False,0.03,20,1500
33,10.986197,12.538941383361816,0.4588854908943176,2,100,10,500,10,0,10,False,0.03,20,1500
34,10.9278555,12.668601989746094,0.44701310992240906,2,100,10,500,10,0,10,False,0.03,20,1500
35,10.88705,12.769061088562012,0.45903444290161133,2,100,10,500,10,0,10,False,0.03,20,1500
36,10.850037,12.72905158996582,0.4421965181827545,2,100,10,500,10,0,10,False,0.03,20,1500
37,10.818294,12.74270248413086,0.4368038773536682,2,100,10,500,10,0,10,False,0.03,20,1500
38,10.784713,12.659399032592773,0.4258769452571869,2,100,10,500,10,0,10,False,0.03,20,1500
39,10.759254,12.564781188964844,0.4235038757324219,2,100,10,500,10,0,10,False,0.03,20,1500
40,10.7426195,12.50670051574707,0.41313087940216064,2,100,10,500,10,0,10,False,0.03,20,1500
41,10.71937,12.48784351348877,0.41514676809310913,2,100,10,500,10,0,10,False,0.03,20,1500
42,10.700004,12.38748550415039,0.40791815519332886,2,100,10,500,10,0,10,False,0.03,20,1500
43,10.682513,12.373488426208496,0.4051342308521271,2,100,10,500,10,0,10,False,0.03,20,1500
44,10.662987,12.41816234588623,0.4078380763530731,2,100,10,500,10,0,10,False,0.03,20,1500
45,10.6477165,12.38553237915039,0.3985666334629059,2,100,10,500,10,0,10,False,0.03,20,1500
46,10.630969,12.492886543273926,0.3893616497516632,2,100,10,500,10,0,10,False,0.03,20,1500
47,10.6167,12.4723482131958,0.38436874747276306,2,100,10,500,10,0,10,False,0.03,20,1500
48,10.6114025,12.519920349121094,0.3816227614879608,2,100,10,500,10,0,10,False,0.03,20,1500
49,10.604279,12.536325454711914,0.3830401599407196,2,100,10,500,10,0,10,False,0.03,20,1500
50,10.598568,12.479924201965332,0.38559865951538086,2,100,10,500,10,0,10,False,0.03,20,1500
51,10.590155,12.543581008911133,0.37572160363197327,2,100,10,500,10,0,10,False,0.03,20,1500
52,10.578509,12.872447967529297,0.3995051085948944,2,100,10,500,10,0,10,False,0.03,20,1500
53,10.559759,12.653202056884766,0.40091991424560547,2,100,10,500,10,0,10,False,0.03,20,1500
54,10.545387,12.662309646606445,0.392547607421875,2,100,10,500,10,0,10,False,0.03,20,1500
55,10.540353,12.64526081085205,0.38719069957733154,2,100,10,500,10,0,10,False,0.03,20,1500
56,10.539476,12.679252624511719,0.38958925008773804,2,100,10,500,10,0,10,False,0.03,20,1500
57,10.533639,12.810590744018555,0.39298224449157715,2,100,10,500,10,0,10,False,0.03,20,1500
58,10.532113,12.69261360168457,0.39178377389907837,2,100,10,500,10,0,10,False,0.03,20,1500
59,10.530257,12.75932502746582,0.37889596819877625,2,100,10,500,10,0,10,False,0.03,20,1500
60,10.526791,12.657113075256348,0.3845870792865753,2,100,10,500,10,0,10,False,0.03,20,1500
61,10.516588,12.573579788208008,0.37870487570762634,2,100,10,500,10,0,10,False,0.03,20,1500
62,10.506963,12.514726638793945,0.3721901476383209,2,100,10,500,10,0,10,False,0.03,20,1500
63,10.500989,12.668156623840332,0.3667392134666443,2,100,10,500,10,0,10,False,0.03,20,1500
64,10.49861,12.69297981262207,0.37031909823417664,2,100,10,500,10,0,10,False,0.03,20,1500
65,10.495495,12.669401168823242,0.3662729263305664,2,100,10,500,10,0,10,False,0.03,20,1500
66,10.496897,12.644168853759766,0.36019474267959595,2,100,10,500,10,0,10,False,0.03,20,1500
