iter,loss_mean,MSE_val,MSE_params,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_val,data_n_features,data_noise_scale,model_n_features,model_bias,algo_lrate,algo_S,algo_R
0,856.6533,866.2872314453125,8.683920860290527,3,150,10,500,100,0,100,False,0.01,30,1500
1,760.11804,834.4190063476562,8.364930152893066,3,150,10,500,100,0,100,False,0.01,30,1500
2,676.50793,807.3896484375,8.086634635925293,3,150,10,500,100,0,100,False,0.01,30,1500
3,601.93677,784.5571899414062,7.854192733764648,3,150,10,500,100,0,100,False,0.01,30,1500
4,536.7818,758.4708862304688,7.597753047943115,3,150,10,500,100,0,100,False,0.01,30,1500
5,478.75073,734.2957153320312,7.3602681159973145,3,150,10,500,100,0,100,False,0.01,30,1500
6,426.94568,713.0776977539062,7.146906852722168,3,150,10,500,100,0,100,False,0.01,30,1500
7,380.26746,692.1749877929688,6.93002462387085,3,150,10,500,100,0,100,False,0.01,30,1500
8,340.16202,674.8861694335938,6.757981300354004,3,150,10,500,100,0,100,False,0.01,30,1500
9,305.4698,659.5631103515625,6.604182243347168,3,150,10,500,100,0,100,False,0.01,30,1500
10,273.61844,641.8618774414062,6.426508903503418,3,150,10,500,100,0,100,False,0.01,30,1500
11,244.68285,626.5386352539062,6.268039703369141,3,150,10,500,100,0,100,False,0.01,30,1500
12,218.47945,611.2764282226562,6.1170878410339355,3,150,10,500,100,0,100,False,0.01,30,1500
13,194.83362,601.5631103515625,6.0193023681640625,3,150,10,500,100,0,100,False,0.01,30,1500
14,173.41568,588.5198974609375,5.885433673858643,3,150,10,500,100,0,100,False,0.01,30,1500
15,154.76585,577.4273681640625,5.772215366363525,3,150,10,500,100,0,100,False,0.01,30,1500
16,137.67899,566.9115600585938,5.669358730316162,3,150,10,500,100,0,100,False,0.01,30,1500
17,123.18739,555.532958984375,5.559996128082275,3,150,10,500,100,0,100,False,0.01,30,1500
18,110.10107,545.6924438476562,5.457674026489258,3,150,10,500,100,0,100,False,0.01,30,1500
