iter,loss_mean,MSE_val,MSE_params,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_val,data_n_features,data_noise_scale,model_n_features,model_bias,algo_lrate,algo_S,algo_R
0,865.9533,870.3965454101562,8.74207878112793,3,150,10,500,100,0,100,False,0.01,30,1500
1,776.9449,841.4608764648438,8.467723846435547,3,150,10,500,100,0,100,False,0.01,30,1500
2,699.23016,814.3546752929688,8.207950592041016,3,150,10,500,100,0,100,False,0.01,30,1500
3,634.4125,792.00439453125,7.983221054077148,3,150,10,500,100,0,100,False,0.01,30,1500
4,574.0,769.2655029296875,7.764176845550537,3,150,10,500,100,0,100,False,0.01,30,1500
5,520.1035,748.0189819335938,7.553598880767822,3,150,10,500,100,0,100,False,0.01,30,1500
6,473.8372,730.9545288085938,7.3729753494262695,3,150,10,500,100,0,100,False,0.01,30,1500
7,432.65942,717.2944946289062,7.21885347366333,3,150,10,500,100,0,100,False,0.01,30,1500
8,396.38638,702.1112060546875,7.051162242889404,3,150,10,500,100,0,100,False,0.01,30,1500
9,364.91104,688.4720458984375,6.892062187194824,3,150,10,500,100,0,100,False,0.01,30,1500
10,336.07385,679.7871704101562,6.7815985679626465,3,150,10,500,100,0,100,False,0.01,30,1500
11,309.89914,667.9161376953125,6.641271114349365,3,150,10,500,100,0,100,False,0.01,30,1500
12,286.8324,656.9141235351562,6.5037922859191895,3,150,10,500,100,0,100,False,0.01,30,1500
13,267.4218,650.0806274414062,6.414154529571533,3,150,10,500,100,0,100,False,0.01,30,1500
14,249.16805,641.9412841796875,6.317633152008057,3,150,10,500,100,0,100,False,0.01,30,1500
15,233.47495,634.98193359375,6.220913887023926,3,150,10,500,100,0,100,False,0.01,30,1500
16,218.95213,628.4813842773438,6.135422229766846,3,150,10,500,100,0,100,False,0.01,30,1500
17,206.16849,619.9882202148438,6.027909755706787,3,150,10,500,100,0,100,False,0.01,30,1500
18,194.87627,613.5640869140625,5.9543137550354,3,150,10,500,100,0,100,False,0.01,30,1500
19,184.8392,609.215576171875,5.897155284881592,3,150,10,500,100,0,100,False,0.01,30,1500
20,175.52338,603.9624633789062,5.829939842224121,3,150,10,500,100,0,100,False,0.01,30,1500
21,167.62279,601.3380126953125,5.777036190032959,3,150,10,500,100,0,100,False,0.01,30,1500
22,160.42899,596.5325317382812,5.708752155303955,3,150,10,500,100,0,100,False,0.01,30,1500
23,153.89726,592.7216796875,5.643964767456055,3,150,10,500,100,0,100,False,0.01,30,1500
24,148.37584,587.8093872070312,5.577267646789551,3,150,10,500,100,0,100,False,0.01,30,1500
25,143.43692,585.5982055664062,5.530302047729492,3,150,10,500,100,0,100,False,0.01,30,1500
26,138.97365,583.7644653320312,5.49574613571167,3,150,10,500,100,0,100,False,0.01,30,1500
27,135.15378,578.0277099609375,5.438467979431152,3,150,10,500,100,0,100,False,0.01,30,1500
28,131.63715,575.100341796875,5.394792079925537,3,150,10,500,100,0,100,False,0.01,30,1500
29,128.62482,571.5986938476562,5.349811553955078,3,150,10,500,100,0,100,False,0.01,30,1500
30,125.88689,570.8655395507812,5.319406986236572,3,150,10,500,100,0,100,False,0.01,30,1500
31,123.57932,567.9175415039062,5.280120849609375,3,150,10,500,100,0,100,False,0.01,30,1500
32,121.40192,564.681640625,5.229909420013428,3,150,10,500,100,0,100,False,0.01,30,1500
33,119.53521,561.4697265625,5.188534259796143,3,150,10,500,100,0,100,False,0.01,30,1500
34,117.93289,559.8499755859375,5.155895233154297,3,150,10,500,100,0,100,False,0.01,30,1500
35,116.48351,556.9584350585938,5.111218452453613,3,150,10,500,100,0,100,False,0.01,30,1500
36,115.28958,555.2485961914062,5.08009147644043,3,150,10,500,100,0,100,False,0.01,30,1500
37,114.10307,551.0513305664062,5.034865856170654,3,150,10,500,100,0,100,False,0.01,30,1500
38,113.0686,548.8021240234375,5.00044059753418,3,150,10,500,100,0,100,False,0.01,30,1500
39,112.25669,546.6561889648438,4.962128639221191,3,150,10,500,100,0,100,False,0.01,30,1500
40,111.52154,544.62158203125,4.927012920379639,3,150,10,500,100,0,100,False,0.01,30,1500
41,110.85169,541.29296875,4.884028434753418,3,150,10,500,100,0,100,False,0.01,30,1500
42,110.325836,541.256591796875,4.87423849105835,3,150,10,500,100,0,100,False,0.01,30,1500
43,109.852516,539.5201416015625,4.841440677642822,3,150,10,500,100,0,100,False,0.01,30,1500
44,109.279755,538.6478271484375,4.813473701477051,3,150,10,500,100,0,100,False,0.01,30,1500
45,108.87942,537.23291015625,4.776629447937012,3,150,10,500,100,0,100,False,0.01,30,1500
46,108.56641,535.6650390625,4.746170520782471,3,150,10,500,100,0,100,False,0.01,30,1500
47,108.26751,532.6820678710938,4.713688850402832,3,150,10,500,100,0,100,False,0.01,30,1500
48,107.98835,529.2940673828125,4.680139064788818,3,150,10,500,100,0,100,False,0.01,30,1500
49,107.85412,526.2764282226562,4.652538299560547,3,150,10,500,100,0,100,False,0.01,30,1500
