iter,loss_mean,MSE_val,MSE_params,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_val,data_n_features,data_noise_scale,model_n_features,model_bias,algo_lrate,algo_S,algo_R
0,383.62646,397.22210693359375,7.88550329208374,3,150,10,500,50,0,50,False,0.01,30,1500
1,349.0586,379.30450439453125,7.533740997314453,3,150,10,500,50,0,50,False,0.01,30,1500
2,317.70078,363.3636169433594,7.211878299713135,3,150,10,500,50,0,50,False,0.01,30,1500
3,288.2025,347.3927001953125,6.89534854888916,3,150,10,500,50,0,50,False,0.01,30,1500
4,262.82236,333.73193359375,6.617656230926514,3,150,10,500,50,0,50,False,0.01,30,1500
5,239.03416,319.36614990234375,6.336275577545166,3,150,10,500,50,0,50,False,0.01,30,1500
6,218.42072,307.096923828125,6.093976974487305,3,150,10,500,50,0,50,False,0.01,30,1500
7,199.29224,295.796875,5.8680195808410645,3,150,10,500,50,0,50,False,0.01,30,1500
8,182.03416,284.55865478515625,5.645235538482666,3,150,10,500,50,0,50,False,0.01,30,1500
9,166.29904,274.7284851074219,5.449036121368408,3,150,10,500,50,0,50,False,0.01,30,1500
10,152.2575,264.6661376953125,5.251135349273682,3,150,10,500,50,0,50,False,0.01,30,1500
11,139.05858,255.314453125,5.0642828941345215,3,150,10,500,50,0,50,False,0.01,30,1500
12,127.16013,246.17401123046875,4.884124279022217,3,150,10,500,50,0,50,False,0.01,30,1500
13,116.25651,238.35581970214844,4.7269110679626465,3,150,10,500,50,0,50,False,0.01,30,1500
14,106.28939,231.22430419921875,4.587002277374268,3,150,10,500,50,0,50,False,0.01,30,1500
15,97.39866,223.93328857421875,4.443405628204346,3,150,10,500,50,0,50,False,0.01,30,1500
16,89.29507,216.99830627441406,4.307343482971191,3,150,10,500,50,0,50,False,0.01,30,1500
17,81.809814,210.65818786621094,4.182741165161133,3,150,10,500,50,0,50,False,0.01,30,1500
18,75.08711,204.70826721191406,4.063085556030273,3,150,10,500,50,0,50,False,0.01,30,1500
19,68.78602,198.9342498779297,3.9472970962524414,3,150,10,500,50,0,50,False,0.01,30,1500
20,63.02539,193.62142944335938,3.842852830886841,3,150,10,500,50,0,50,False,0.01,30,1500
21,57.81824,188.45736694335938,3.742967128753662,3,150,10,500,50,0,50,False,0.01,30,1500
22,52.950096,183.64353942871094,3.6479313373565674,3,150,10,500,50,0,50,False,0.01,30,1500
23,48.546543,178.9434814453125,3.5537309646606445,3,150,10,500,50,0,50,False,0.01,30,1500
24,44.41983,174.7756805419922,3.4720382690429688,3,150,10,500,50,0,50,False,0.01,30,1500
25,40.57964,171.2539825439453,3.4004976749420166,3,150,10,500,50,0,50,False,0.01,30,1500
26,37.21042,166.7989959716797,3.3117940425872803,3,150,10,500,50,0,50,False,0.01,30,1500
27,34.130142,162.23765563964844,3.22513484954834,3,150,10,500,50,0,50,False,0.01,30,1500
28,31.263145,158.31503295898438,3.14847469329834,3,150,10,500,50,0,50,False,0.01,30,1500
29,28.567877,154.3050994873047,3.0676207542419434,3,150,10,500,50,0,50,False,0.01,30,1500
30,26.176447,150.47906494140625,2.991029977798462,3,150,10,500,50,0,50,False,0.01,30,1500
31,23.913588,146.9887237548828,2.923143148422241,3,150,10,500,50,0,50,False,0.01,30,1500
32,21.878828,143.3272247314453,2.851356267929077,3,150,10,500,50,0,50,False,0.01,30,1500
33,19.965097,140.06736755371094,2.7888903617858887,3,150,10,500,50,0,50,False,0.01,30,1500
34,18.251915,136.72476196289062,2.722242593765259,3,150,10,500,50,0,50,False,0.01,30,1500
35,16.78335,133.96957397460938,2.665029287338257,3,150,10,500,50,0,50,False,0.01,30,1500
36,15.353773,131.49412536621094,2.615013599395752,3,150,10,500,50,0,50,False,0.01,30,1500
37,14.026164,128.57554626464844,2.5567986965179443,3,150,10,500,50,0,50,False,0.01,30,1500
38,12.833423,125.87628936767578,2.5042316913604736,3,150,10,500,50,0,50,False,0.01,30,1500
